location,min_dst,max_dst,MX_RMSE,MY_RMSE,MZ_RMSE,PX_RMSE,PY_RMSE,PZ_RMSE
KAK,-inf,-300,44.812471,25.877415,92.233004,72.565654,46.087398,55.769551
KAK,-300.0,-250.0,35.487208,27.19095,64.604973,61.240701,35.684498,37.256963
KAK,-250.0,-200.0,23.58591,20.706083,45.601137,59.663018,31.728165,31.154383
KAK,-200.0,-150.0,21.642111,27.580014,37.037817,41.366153,29.663568,24.46531
KAK,-150.0,-100.0,15.716583,28.6733,29.054728,33.174122,21.213945,18.843909
KAK,-100.0,-50.0,9.714459,15.27701,19.938128,21.48376,16.25641,12.412207
KAK,-50.0,0.0,5.39207,4.696964,10.76093,11.268523,14.549183,6.739098
KAK,0.0,50.0,4.931978,4.553365,8.845573,10.320754,15.033008,5.773094
KAK,50.0,inf,6.193869,6.512719,10.607833,19.323263,16.897823,10.366251
FRN,-inf,-300,43.028767,30.028962,52.348166,101.199907,50.380817,64.901884
FRN,-300.0,-250.0,63.656218,33.653184,37.061673,81.526596,56.521105,58.472662
FRN,-250.0,-200.0,49.061064,26.224598,37.806628,55.944384,38.764053,51.690762
FRN,-200.0,-150.0,37.929781,22.305248,30.117644,39.849968,39.427093,36.32719
FRN,-150.0,-100.0,29.197503,19.108775,25.201643,31.015645,30.123447,27.506514
FRN,-100.0,-50.0,18.072367,12.712837,13.921235,22.10178,20.004469,18.880816
FRN,-50.0,0.0,8.786557,7.352644,7.022149,13.431603,14.890578,10.654421
FRN,0.0,50.0,6.856292,6.996983,7.438824,12.600872,15.978192,8.434648
FRN,50.0,inf,6.042194,6.682231,11.772759,16.530152,22.631789,11.622783
ASC,-inf,-300,38.247515,37.662028,15.965242,522.621383,28.053985,65.322517
ASC,-300.0,-250.0,29.414677,52.675078,9.256464,429.68797,26.439612,46.079342
ASC,-250.0,-200.0,30.443173,30.312162,10.099798,293.268979,24.92917,39.43482
ASC,-200.0,-150.0,31.29141,23.823318,12.784642,223.565136,25.730449,34.32408
ASC,-150.0,-100.0,20.620712,22.072091,9.221398,169.341861,17.036643,26.815857
ASC,-100.0,-50.0,13.878477,16.061348,10.303124,97.757893,14.117435,22.453506
ASC,-50.0,0.0,7.148848,10.75607,10.889518,37.139002,15.725366,18.811212
ASC,0.0,50.0,6.215224,9.617499,11.464246,19.725834,16.338132,18.167953
ASC,50.0,inf,10.101832,10.330458,4.368128,40.884154,14.623143,9.338293
ASP,-inf,-300,36.643259,36.070251,37.683185,68.434409,57.583022,37.391437
ASP,-300.0,-250.0,30.547471,36.219026,25.213103,56.788011,32.313313,31.839946
ASP,-250.0,-200.0,31.9452,30.066921,17.204844,63.20635,37.293458,29.239955
ASP,-200.0,-150.0,20.306648,20.256748,14.519958,46.217491,31.763436,24.689245
ASP,-150.0,-100.0,19.611515,15.06859,11.565591,35.273516,25.554911,19.381304
ASP,-100.0,-50.0,14.42209,10.519015,8.52829,23.974612,18.117491,13.913998
ASP,-50.0,0.0,8.21166,6.540122,5.379841,12.915644,14.983572,8.092603
ASP,0.0,50.0,7.290561,5.978198,4.856722,11.672873,15.335273,5.98639
ASP,50.0,inf,9.491117,6.039769,4.951934,19.116888,12.201076,6.478224
HBK,-inf,-300,44.769584,54.760576,27.53588,82.399738,46.979707,74.789421
HBK,-300.0,-250.0,34.392561,38.412295,14.644466,73.561974,29.78854,44.588338
HBK,-250.0,-200.0,35.170733,26.259751,20.939146,54.479409,44.22128,30.721895
HBK,-200.0,-150.0,23.952578,19.505722,17.669328,48.85962,40.448245,24.655949
HBK,-150.0,-100.0,19.988158,16.100068,17.785784,41.081927,30.910027,19.95496
HBK,-100.0,-50.0,14.663138,11.586131,12.50246,25.37863,19.446981,13.334031
HBK,-50.0,0.0,8.736583,8.092968,6.842809,12.308986,13.215359,8.657491
HBK,0.0,50.0,7.574873,7.679715,6.120776,11.100865,15.457325,7.002205
HBK,50.0,inf,14.045046,8.512344,12.666332,20.543333,18.045157,12.9927
HAD,-inf,-300,120.876199,49.520523,160.592226,121.273655,91.49095,171.042097
HAD,-300.0,-250.0,58.365087,30.3298,116.514403,103.509982,63.505304,107.551382
HAD,-250.0,-200.0,29.653691,24.214803,67.565968,46.094356,57.680643,73.146345
HAD,-200.0,-150.0,23.512494,23.531035,56.183859,38.310906,44.138417,63.807211
HAD,-150.0,-100.0,20.367616,19.617808,38.845792,33.168334,35.602183,50.235829
HAD,-100.0,-50.0,12.067184,12.041469,19.902275,20.731399,25.324908,26.609386
HAD,-50.0,0.0,5.378928,5.244376,7.358882,13.682678,15.773134,10.4065
HAD,0.0,50.0,3.815392,4.819203,6.117568,13.887489,15.201417,6.524074
HAD,50.0,inf,4.070553,5.444499,8.320629,24.122687,22.130987,8.761852
CLF,-inf,-300,33.341312,27.230527,96.946455,79.745575,85.569566,127.75897
CLF,-300.0,-250.0,26.621475,16.521261,60.529906,67.733798,70.915497,62.863317
CLF,-250.0,-200.0,19.54288,14.48059,38.013182,41.78962,51.367925,48.16628
CLF,-200.0,-150.0,19.156658,15.577991,30.758199,38.573804,41.072096,43.700573
CLF,-150.0,-100.0,14.412406,13.870981,22.676116,32.32473,32.13414,37.330669
CLF,-100.0,-50.0,9.835075,8.561667,12.093779,21.671743,23.018824,21.091673
CLF,-50.0,0.0,4.408648,5.024423,5.826576,13.50624,15.371246,9.558001
CLF,0.0,50.0,3.185573,5.321125,5.48557,13.470862,15.221117,6.195516
CLF,50.0,inf,2.615426,4.126283,7.654192,24.415589,21.480403,7.936502
HYB,-inf,-300,nan,nan,nan,nan,nan,nan
HYB,-300.0,-250.0,nan,nan,nan,nan,nan,nan
HYB,-250.0,-200.0,22.415052,15.008177,2.500707,33.845317,8.693024,2.941765
HYB,-200.0,-150.0,14.77792,14.906748,9.737499,46.927257,18.340229,9.511543
HYB,-150.0,-100.0,21.886469,16.122858,9.001332,43.25986,19.654467,8.176107
HYB,-100.0,-50.0,16.684417,12.981914,8.391628,29.027394,13.840253,8.100723
HYB,-50.0,0.0,15.404554,10.479741,7.350577,17.40096,18.653777,8.042909
HYB,0.0,50.0,13.712079,8.532661,6.684931,15.162985,20.258528,7.334864
HYB,50.0,inf,18.378594,4.779735,4.42969,20.185552,14.407963,6.306739
BSL,-inf,-300,49.927256,62.470223,49.627737,113.225309,53.94747,69.550294
BSL,-300.0,-250.0,50.845764,54.147329,35.157592,66.060937,49.017456,65.32817
BSL,-250.0,-200.0,45.731803,24.543589,31.279618,50.778475,45.391068,53.287732
BSL,-200.0,-150.0,33.394387,31.119548,22.775491,41.867736,34.423734,39.814022
BSL,-150.0,-100.0,28.061758,31.478924,19.101788,33.863339,27.185452,29.202811
BSL,-100.0,-50.0,18.165292,17.330938,14.139903,22.507393,18.566434,23.566811
BSL,-50.0,0.0,9.456384,6.790259,11.428683,12.293907,12.365301,15.561184
BSL,0.0,50.0,8.238738,6.539052,12.184097,10.377612,9.691931,12.754948
BSL,50.0,inf,10.010568,6.37274,22.346471,16.96689,20.297391,17.792031
SPT,-inf,-300,52.353105,24.879542,25.314773,115.850158,60.592238,72.545995
SPT,-300.0,-250.0,34.50403,25.324464,19.909228,63.259448,48.459681,54.442248
SPT,-250.0,-200.0,22.139637,13.106433,15.631591,48.636172,39.171458,36.946655
SPT,-200.0,-150.0,21.801043,14.907763,12.335224,48.536357,32.144128,31.647738
SPT,-150.0,-100.0,15.343858,11.98678,10.533344,38.173366,25.537535,27.140848
SPT,-100.0,-50.0,9.6923,8.594952,7.452458,24.323942,18.63566,16.970933
SPT,-50.0,0.0,5.041849,4.902261,6.191718,13.301925,14.639941,8.717613
SPT,0.0,50.0,4.369233,4.788575,6.303871,12.768712,14.990653,6.062291
SPT,50.0,inf,3.477525,4.90059,8.423038,22.438089,19.295,7.986028
HON,-inf,-300,50.845215,43.064083,34.123984,88.312182,33.595527,15.916622
HON,-300.0,-250.0,38.900351,37.61666,29.374361,58.868076,32.938318,25.224031
HON,-250.0,-200.0,27.965891,31.482463,19.226126,53.807436,29.108328,20.235483
HON,-200.0,-150.0,26.008868,30.017424,18.01601,43.516502,21.425189,14.265672
HON,-150.0,-100.0,19.872941,31.584243,14.892276,33.069386,18.347864,12.243535
HON,-100.0,-50.0,11.498477,17.823339,9.580308,22.746181,14.679601,9.440515
HON,-50.0,0.0,6.830519,8.302673,5.353427,11.289478,14.118241,6.442092
HON,0.0,50.0,6.447598,7.733548,5.031126,10.084068,15.199814,5.790805
HON,50.0,inf,11.38037,11.694492,3.962658,15.98837,9.504755,8.647313
GUA,-inf,-300,53.919023,29.772321,19.458082,76.322022,27.487079,14.030843
GUA,-300.0,-250.0,39.940235,26.530719,17.217351,72.540431,24.292135,13.094278
GUA,-250.0,-200.0,33.781597,19.371348,16.32188,70.390067,16.263623,14.804901
GUA,-200.0,-150.0,30.650424,24.762659,18.612633,54.073786,16.249171,11.524771
GUA,-150.0,-100.0,18.375165,25.535724,16.994157,38.243006,14.401624,7.79921
GUA,-100.0,-50.0,14.153483,14.605831,13.690921,24.300171,12.877851,6.796448
GUA,-50.0,0.0,9.094816,5.981436,9.936019,11.783949,13.5618,5.65207
GUA,0.0,50.0,8.232687,5.853369,9.346405,9.888132,11.331487,5.366888
GUA,50.0,inf,9.684256,5.359167,11.285187,20.395515,16.318426,4.428197
PPT,-inf,-300,63.495018,54.215096,33.220624,84.342936,30.863544,25.674011
PPT,-300.0,-250.0,48.058263,54.885701,23.010619,63.174358,25.642476,27.059062
PPT,-250.0,-200.0,43.351066,35.621371,20.068769,61.758429,34.44394,25.40369
PPT,-200.0,-150.0,33.237622,25.72107,15.076981,51.236865,30.699887,19.744085
PPT,-150.0,-100.0,31.155211,19.595801,12.770052,40.203792,23.316284,15.515736
PPT,-100.0,-50.0,30.531354,17.591612,11.627238,33.240406,19.324968,12.399675
PPT,-50.0,0.0,34.485114,16.34888,9.228078,34.746732,19.261086,9.491411
PPT,0.0,50.0,38.859008,16.385392,8.377882,38.579639,20.529267,8.62618
PPT,50.0,inf,21.822892,12.343966,10.988422,33.661192,10.162164,12.907113
PHU,-inf,-300,28.836347,23.565638,23.400005,103.847404,29.602337,18.482215
PHU,-300.0,-250.0,27.691731,29.356404,18.02859,93.388052,18.967709,17.726208
PHU,-250.0,-200.0,17.557817,17.04919,17.153848,78.28271,22.783966,23.147297
PHU,-200.0,-150.0,20.844466,13.753279,13.729867,63.636233,23.145763,19.808573
PHU,-150.0,-100.0,15.169803,13.217149,11.978075,46.095963,15.968425,17.303703
PHU,-100.0,-50.0,15.667088,10.62607,8.991883,28.855736,15.739796,13.885281
PHU,-50.0,0.0,15.544957,9.434554,8.184114,19.373273,14.253225,10.866242
PHU,0.0,50.0,16.238667,9.747959,8.235077,18.649746,12.12658,10.514695
PHU,50.0,inf,15.783759,9.542153,6.646013,35.905219,13.225269,13.675803
KOU,-inf,-300,38.298563,63.279571,36.181911,133.015256,39.304851,55.177315
KOU,-300.0,-250.0,33.806248,44.784,44.068222,111.205302,29.02857,52.139356
KOU,-250.0,-200.0,27.742181,30.577523,41.4525,54.61776,28.591319,42.487445
KOU,-200.0,-150.0,30.079909,27.597537,24.517536,49.019519,22.74703,27.851187
KOU,-150.0,-100.0,25.400329,22.252065,17.183298,36.288989,19.380606,19.927372
KOU,-100.0,-50.0,16.720313,13.009078,13.66342,21.371979,12.435944,14.280796
KOU,-50.0,0.0,7.557184,8.037401,9.656544,11.403468,14.60025,10.279978
KOU,0.0,50.0,6.439639,7.687694,10.161151,10.648034,16.41355,10.327801
KOU,50.0,inf,5.360236,7.32207,15.144471,31.846449,17.344428,14.793916
