date,Bx,By,Bz,Mx,My,Mz,dst
19980925 08:30,-126.73,11.45,20.10,-148.69,7.21,17.23,-201.50
19991022 05:30,-175.29,30.51,13.06,-127.36,8.33,17.36,-221.00
19991022 06:30,-187.24,24.65,14.61,-152.52,3.14,16.22,-232.50
19991022 07:30,-150.82,-4.40,13.83,-133.24,-16.07,21.49,-217.00
20000406 20:30,-295.29,40.59,15.27,-283.61,92.51,6.36,-215.00
20000407 01:30,-335.99,50.36,6.44,-302.65,59.21,-2.55,-237.00
20000407 02:30,-303.33,40.80,6.89,-292.94,52.14,-2.58,-211.50
20000407 03:30,-271.95,30.04,4.03,-268.79,52.26,-4.07,-204.50
20000407 04:30,-255.72,29.82,2.59,-254.96,53.51,-3.60,-206.00
20000715 20:30,-338.56,34.85,24.76,-282.67,13.79,15.95,-243.00
20000716 03:30,-287.53,33.80,6.54,-279.11,39.33,6.40,-245.50
20000716 04:30,-246.19,32.44,8.95,-234.26,42.87,6.47,-220.00
20000716 05:30,-220.63,37.26,9.54,-202.21,53.45,6.20,-201.50
20000812 08:30,-158.78,82.45,24.21,-180.37,55.49,13.05,-218.50
20000812 09:30,-146.86,93.77,21.00,-190.65,44.23,15.58,-229.00
20000812 10:30,-148.20,84.14,12.59,-206.03,62.28,15.84,-207.50
20010331 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-209.00
20010331 13:30,NaN,NaN,NaN,NaN,NaN,NaN,-234.50
20010331 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-221.00
20010331 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-218.00
20010331 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-230.50
20010331 23:30,NaN,NaN,NaN,NaN,NaN,NaN,-230.50
20010401 00:30,NaN,NaN,NaN,NaN,NaN,NaN,-220.50
20010401 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-209.00
20010411 21:30,NaN,NaN,NaN,NaN,NaN,NaN,-210.00
20010411 22:30,NaN,NaN,NaN,NaN,NaN,NaN,-243.00
20010412 00:30,NaN,NaN,NaN,NaN,NaN,NaN,-225.50
20010412 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-212.50
20011106 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-247.00
20011106 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-224.00
20011106 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-206.50
20011106 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-212.50
20011106 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-214.00
20011124 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-206.50
20011124 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-216.00
20011124 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-218.50
20011124 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-210.50
20031029 19:30,-424.22,11.59,-0.57,-399.55,64.12,-12.53,-233.00
20031030 05:30,-278.21,10.05,-5.01,-250.13,48.93,-2.03,-232.00
20031030 06:30,-257.48,-6.09,-6.00,-229.27,45.27,-2.12,-211.50
20031031 01:30,-252.92,29.32,-19.24,-223.12,47.69,-15.97,-245.00
20031031 02:30,-270.53,19.66,-12.97,-265.08,36.98,-11.57,-242.50
20031031 03:30,-265.53,18.61,-8.84,-261.77,31.83,-11.03,-218.50
20031121 01:30,-321.58,59.76,-34.36,-294.07,66.60,-17.14,-243.00
20031121 02:30,-277.88,45.76,-29.60,-254.51,46.28,-15.28,-212.00
20041108 01:30,-207.11,54.09,-9.21,-188.65,32.99,0.56,-205.00
20041108 02:30,-208.71,40.84,-6.51,-183.57,56.31,9.49,-248.00
20041108 10:30,-227.18,88.38,34.50,-272.85,95.17,14.71,-224.50
20041110 05:30,-123.44,23.63,-7.99,-64.42,-25.23,2.59,-218.50
20041110 06:30,-156.53,31.84,-2.41,-124.16,9.32,8.89,-249.50
20041110 10:30,-265.23,67.00,-1.39,-301.24,91.02,6.06,-247.50
20041110 11:30,-251.56,52.39,-4.21,-276.90,114.50,6.00,-233.00
20041110 12:30,-256.95,40.70,-7.42,-269.49,101.49,1.68,-220.00
20050515 07:30,-171.10,75.27,10.05,-165.02,32.78,15.65,-238.00
20050515 08:30,-199.25,69.72,6.34,-145.98,26.52,24.39,-234.50
20050515 09:30,-192.33,63.09,0.52,-143.96,24.65,22.25,-203.00
20150317 21:30,-286.04,39.73,-23.54,-312.98,55.05,-15.29,-216.00
20150317 22:30,-298.01,44.14,-24.07,-305.29,54.59,-14.83,-229.50
20150317 23:30,-271.28,38.54,-26.67,-264.46,56.67,-9.91,-212.50
