date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-306.50
20010331 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-369.00
20010331 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-366.50
20010331 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-331.50
20010331 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-304.50
20031029 22:30,-383.02,21.53,-14.41,-320.44,91.72,-12.18,-315.50
20031029 23:30,-424.87,48.14,-10.97,-377.89,97.89,-7.33,-351.50
20031030 00:30,-376.28,40.95,-12.43,-351.22,83.43,-11.28,-347.00
20031030 01:30,-369.22,35.32,-8.43,-318.16,58.45,-5.53,-338.00
20031030 02:30,-304.65,12.59,-9.09,-213.96,17.39,2.19,-319.00
20031030 21:30,-450.49,5.31,-4.82,-421.93,91.51,-6.47,-349.50
20031030 22:30,-520.88,51.27,-6.08,-529.39,125.66,-11.59,-377.00
20031030 23:30,-505.61,62.93,-9.63,-494.23,91.91,-14.48,-339.00
20031120 17:30,-559.02,85.17,-21.00,-560.77,100.74,-3.66,-362.50
20031120 18:30,-678.56,56.33,-29.91,-650.87,34.52,-5.07,-404.50
20031120 19:30,-711.28,80.32,-39.29,-683.55,77.25,-8.19,-417.50
20031120 20:30,-658.47,98.60,-44.05,-609.85,131.51,-13.09,-422.00
20031120 21:30,-612.33,90.66,-41.73,-586.96,142.87,-17.11,-413.50
20031120 22:30,-561.29,80.01,-39.48,-549.55,96.20,-21.70,-374.00
20031120 23:30,-449.46,80.08,-40.21,-433.63,105.02,-21.01,-326.00
20041108 03:30,-245.53,17.32,-4.81,-236.58,16.56,10.34,-307.00
20041108 04:30,-238.81,-2.22,-6.46,-170.16,-2.08,14.08,-355.00
20041108 05:30,-254.82,-23.70,-2.23,-234.25,-33.42,11.16,-371.00
20041108 06:30,-263.16,-1.39,2.42,-267.80,-21.41,12.49,-358.50
20041108 07:30,-265.18,-1.39,5.69,-290.30,11.49,13.94,-331.50
20041108 08:30,-231.92,19.82,17.98,-268.20,31.49,15.46,-309.50
