date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,37.19,-26.26,11.45,60.35,-3.69,3.24,59.50
19990416 15:30,51.10,-34.10,13.03,70.72,-15.51,2.98,58.00
20011229 06:30,NaN,NaN,NaN,NaN,NaN,NaN,54.50
20011229 07:30,NaN,NaN,NaN,NaN,NaN,NaN,50.50
20011229 10:30,NaN,NaN,NaN,NaN,NaN,NaN,51.00
20020318 14:30,NaN,NaN,NaN,NaN,NaN,NaN,56.00
20020318 15:30,NaN,NaN,NaN,NaN,NaN,NaN,59.00
20020318 16:30,NaN,NaN,NaN,NaN,NaN,NaN,59.00
20020318 17:30,NaN,NaN,NaN,NaN,NaN,NaN,52.50
20041107 11:30,64.04,-9.74,7.97,65.47,-10.55,6.93,52.50
20041205 08:30,60.49,-25.67,1.23,68.52,-16.88,2.71,60.00
20120122 06:30,29.97,-11.66,0.68,33.37,-7.99,-2.66,51.50
20120122 07:30,40.72,-19.30,2.31,47.37,-14.09,-2.10,52.50
20120616 21:30,23.09,-21.70,3.45,28.84,-18.20,2.57,67.50
20120616 22:30,30.37,-21.33,5.23,30.00,-16.41,5.29,64.00
20120616 23:30,3.94,-6.25,6.67,1.15,-0.10,4.66,58.00
20120617 00:30,18.63,-11.79,4.07,20.88,-3.78,5.27,62.50
20120617 01:30,18.95,-11.49,4.55,24.68,-3.62,5.71,50.50
