date,Bx,By,Bz,Mx,My,Mz,dst
19980925 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-201.50
19991022 05:30,-212.99,14.31,-40.19,-222.36,57.39,-57.56,-221.00
19991022 06:30,-234.51,35.48,-54.92,-256.18,62.38,-69.99,-232.50
19991022 07:30,-256.80,70.01,-59.25,-247.36,67.15,-79.01,-217.00
20000406 20:30,-176.18,-11.30,-18.66,-168.88,-46.16,-30.84,-215.00
20000407 01:30,-201.31,9.16,-42.80,-270.84,-2.60,-63.74,-237.00
20000407 02:30,-174.48,-17.48,-45.12,-220.35,-33.28,-55.67,-211.50
20000407 03:30,-193.50,-24.93,-39.50,-198.98,-16.70,-49.16,-204.50
20000407 04:30,-235.39,-31.71,-46.19,-211.30,-15.17,-49.36,-206.00
20000715 20:30,-167.18,86.02,-16.35,-273.04,-25.43,-26.50,-243.00
20000716 03:30,-193.25,-8.24,-40.69,-217.02,-17.58,-54.34,-245.50
20000716 04:30,-182.63,-17.88,-42.43,-199.43,-19.33,-54.15,-220.00
20000716 05:30,-166.77,-35.17,-43.57,-193.01,-17.89,-52.86,-201.50
20000812 08:30,-252.45,10.58,-56.94,-227.74,2.42,-67.34,-218.50
20000812 09:30,-290.52,30.73,-58.78,-253.82,-1.05,-75.35,-229.00
20000812 10:30,-257.73,19.54,-59.76,-227.80,-7.45,-78.71,-207.50
20010331 05:30,-86.75,39.07,-29.07,-144.41,33.14,-19.85,-209.00
20010331 13:30,-222.46,-68.05,-57.99,-233.22,-14.53,-68.11,-234.50
20010331 14:30,-216.38,-28.62,-55.07,-207.52,-19.80,-64.04,-221.00
20010331 15:30,-205.45,-57.20,-51.90,-197.71,-46.35,-62.90,-218.00
20010331 16:30,-169.63,-87.88,-44.72,-169.91,-77.34,-59.71,-230.50
20010331 23:30,-209.78,-32.24,-27.97,-200.23,-15.38,-53.68,-230.50
20010401 00:30,-224.11,-7.78,-34.06,-194.87,-24.27,-56.10,-220.50
20010401 01:30,-201.16,-2.08,-40.41,-187.61,-28.28,-54.90,-209.00
20010411 21:30,-190.10,35.51,-19.26,-223.36,-33.94,-38.26,-210.00
20010411 22:30,-133.92,48.81,-9.67,-180.52,-29.61,-37.65,-243.00
20010412 00:30,-198.54,-7.39,-10.85,-226.78,-2.68,-56.15,-225.50
20010412 01:30,-165.07,8.95,-24.32,-193.63,-7.84,-56.90,-212.50
20011106 09:30,-200.04,6.43,-46.57,-217.82,11.94,-62.48,-247.00
20011106 10:30,-182.88,-4.64,-45.81,-202.36,0.98,-59.89,-224.00
20011106 11:30,-180.51,-12.83,-45.75,-195.64,-8.04,-57.96,-206.50
20011106 14:30,-176.16,-35.50,-45.24,-183.31,-28.41,-56.24,-212.50
20011106 15:30,-184.99,-49.60,-47.85,-190.08,-28.87,-58.20,-214.00
20011124 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-206.50
20011124 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-216.00
20011124 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-218.50
20011124 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-210.50
20031029 19:30,-80.00,-68.42,-28.63,-138.00,-81.63,-38.95,-233.00
20031030 05:30,-230.88,-40.97,-72.82,-231.97,-18.08,-73.22,-232.00
20031030 06:30,-199.84,-35.29,-65.57,-213.72,-25.15,-68.69,-211.50
20031031 01:30,-236.99,4.07,-16.95,-251.87,28.84,-65.09,-245.00
20031031 02:30,-238.44,-2.46,-36.62,-234.45,3.35,-64.63,-242.50
20031031 03:30,-250.14,-16.87,-48.91,-239.07,-13.55,-63.06,-218.50
20031121 01:30,-277.57,-9.65,-39.20,-259.07,-35.04,-63.38,-243.00
20031121 02:30,-250.20,-4.56,-49.49,-239.85,-25.99,-61.17,-212.00
20041108 01:30,-197.35,13.48,-26.31,-184.43,12.09,-26.83,-205.00
20041108 02:30,-231.56,7.67,-22.29,-241.51,41.46,-37.34,-248.00
20041108 10:30,-202.47,-48.96,-65.44,-189.33,-50.50,-81.88,-224.50
20041110 05:30,-222.12,1.68,-57.69,-225.84,30.52,-60.59,-218.50
20041110 06:30,-243.34,17.10,-72.27,-253.10,47.03,-78.73,-249.50
20041110 10:30,-262.40,-62.89,-79.58,-209.25,-64.47,-94.22,-247.50
20041110 11:30,-230.15,1.48,-74.59,-177.16,-48.06,-90.36,-233.00
20041110 12:30,-235.06,-18.41,-71.35,-195.23,-64.41,-87.47,-220.00
20050515 07:30,-324.96,53.16,-63.60,-270.56,26.79,-56.76,-238.00
20050515 08:30,-328.86,54.81,-68.38,-271.18,33.74,-73.68,-234.50
20050515 09:30,-272.26,17.87,-68.21,-231.31,-3.77,-76.90,-203.00
20150317 21:30,-106.90,-15.07,-17.16,-128.78,-28.19,-24.57,-216.00
20150317 22:30,-175.58,-3.93,-18.92,-182.57,-26.53,-29.49,-229.50
20150317 23:30,-152.90,43.68,-17.55,-158.95,10.82,-32.57,-212.50
