date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,-215.46,60.59,-45.18,-276.58,41.97,-44.82,-306.50
20010331 07:30,-349.49,58.36,-74.23,-383.11,69.11,-71.39,-369.00
20010331 08:30,-374.43,64.79,-73.55,-362.58,76.18,-85.83,-366.50
20010331 09:30,-311.06,34.85,-67.65,-295.54,10.13,-82.08,-331.50
20010331 10:30,-276.83,6.98,-68.05,-278.92,-5.72,-79.15,-304.50
20031029 22:30,-274.14,-51.62,9.48,-265.09,-65.92,-48.97,-315.50
20031029 23:30,-333.64,17.90,-3.34,-307.17,-45.08,-60.42,-351.50
20031030 00:30,-378.36,-2.70,-8.01,-347.95,-23.85,-66.82,-347.00
20031030 01:30,-391.74,21.88,-16.92,-310.69,37.97,-73.99,-338.00
20031030 02:30,-399.60,31.99,-34.81,-324.72,55.95,-79.87,-319.00
20031030 21:30,-305.86,-78.84,-18.03,-309.85,-121.05,-52.59,-349.50
20031030 22:30,-328.65,-77.50,6.98,-331.29,-71.35,-61.69,-377.00
20031030 23:30,-339.23,-83.32,16.18,-305.76,-72.72,-61.32,-339.00
20031120 17:30,-299.16,-161.36,-68.35,-235.63,-159.72,-68.38,-362.50
20031120 18:30,-344.06,-82.81,-57.08,-377.66,-136.50,-77.54,-404.50
20031120 19:30,-371.14,-125.40,-48.99,-380.34,-146.52,-85.21,-417.50
20031120 20:30,-360.44,-110.60,-38.25,-356.49,-129.33,-82.80,-422.00
20031120 21:30,-357.48,-81.37,-35.32,-350.03,-98.19,-80.41,-413.50
20031120 22:30,-331.56,-36.47,-33.82,-311.99,-72.57,-71.46,-374.00
20031120 23:30,-307.22,-30.46,-29.50,-285.91,-60.49,-67.56,-326.00
20041108 03:30,-284.81,23.46,-33.81,-283.39,95.44,-52.20,-307.00
20041108 04:30,-321.26,55.72,-67.98,-390.18,132.17,-75.93,-355.00
20041108 05:30,-333.59,57.80,-92.60,-372.04,82.74,-91.98,-371.00
20041108 06:30,-308.25,15.52,-95.24,-327.93,74.59,-99.59,-358.50
20041108 07:30,-264.24,-37.29,-91.84,-284.36,24.02,-96.34,-331.50
20041108 08:30,-315.37,-26.73,-88.82,-277.26,-30.49,-95.05,-309.50
