date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,7.80,-1.72,-7.75,-4.73,-2.07,-6.51,59.50
19990416 15:30,11.00,-2.06,-6.73,-1.64,-2.50,-5.14,58.00
20011229 06:30,32.00,24.57,-12.08,26.40,34.03,2.03,54.50
20011229 07:30,47.13,35.48,-3.31,33.77,45.05,2.49,50.50
20011229 10:30,55.91,38.88,-3.25,44.02,29.25,-1.04,51.00
20020318 14:30,23.49,1.74,-3.05,11.88,4.10,-6.79,56.00
20020318 15:30,23.87,-0.63,-2.90,13.73,-0.09,-6.67,59.00
20020318 16:30,19.77,-1.49,-2.85,11.60,-2.66,-6.82,59.00
20020318 17:30,21.11,-1.44,-2.12,13.78,-6.34,-6.59,52.50
20041107 11:30,32.85,17.46,-5.33,21.44,17.63,-3.06,52.50
20041205 08:30,46.41,28.56,-12.48,35.64,39.57,-6.58,60.00
20120122 06:30,15.84,7.59,-4.55,28.92,17.36,0.71,51.50
20120122 07:30,34.64,9.66,2.28,41.27,17.46,2.81,52.50
20120616 21:30,21.89,4.68,-3.57,28.10,9.94,-3.31,67.50
20120616 22:30,50.31,10.83,0.31,55.66,13.20,0.40,64.00
20120616 23:30,30.03,2.89,-1.71,32.45,2.46,0.11,58.00
20120617 00:30,48.24,4.10,4.06,50.79,5.84,2.52,62.50
20120617 01:30,51.86,12.64,11.85,44.47,6.54,3.97,50.50
