date,Bx,By,Bz,Mx,My,Mz,dst
19970421 22:30,-94.13,-40.49,41.35,-80.42,-28.85,37.11,-104.50
19970515 10:30,-48.92,28.76,17.59,-65.66,45.08,17.37,-108.00
19970515 11:30,-50.90,-20.71,4.94,-58.03,6.74,20.33,-114.50
19970515 12:30,-58.02,-60.38,2.31,-68.68,-31.68,19.95,-113.00
19970515 13:30,-63.15,-40.95,13.75,-64.11,-28.91,21.88,-111.00
19970515 14:30,-67.85,-51.04,17.35,-71.75,-26.64,22.67,-109.00
19970515 15:30,-86.18,-7.10,27.19,-88.61,-4.52,21.67,-101.00
19971011 00:30,-149.09,-9.00,36.69,-109.61,-7.91,43.78,-112.50
19971011 01:30,-145.69,15.40,46.61,-114.60,1.02,45.99,-120.50
19971011 02:30,-131.48,21.05,45.33,-111.51,13.84,44.63,-126.50
19971011 03:30,-138.52,24.42,54.04,-101.22,7.00,44.81,-122.00
19971011 04:30,-72.06,29.15,63.85,-85.46,18.35,41.07,-109.50
19971011 05:30,-95.30,17.60,47.50,-74.89,2.10,36.62,-101.50
19971107 03:30,-150.99,39.12,28.11,-110.38,31.50,22.64,-108.00
19971107 04:30,-131.97,36.33,40.34,-120.15,13.51,23.93,-103.50
19971123 03:30,-129.37,8.79,44.00,-115.13,-0.34,40.41,-101.50
19971123 04:30,-93.31,-32.53,39.35,-87.13,3.41,38.43,-101.00
19971123 05:30,-122.66,32.41,50.31,-98.06,6.16,35.42,-105.00
19971123 06:30,-118.83,15.75,44.54,-100.29,4.08,33.77,-106.50
19971123 11:30,-51.38,-30.13,29.11,-73.34,-14.20,25.31,-106.50
19971123 12:30,-67.80,-28.14,25.13,-72.15,-21.05,25.70,-102.00
19980310 18:30,-127.37,-22.42,1.70,-115.19,-49.79,18.02,-106.50
19980310 19:30,-96.84,-22.55,28.45,-111.29,-41.63,25.80,-111.50
19980310 20:30,-120.61,-22.60,22.64,-114.80,-32.93,32.66,-115.50
19980310 21:30,-97.53,-24.71,36.95,-96.35,-20.81,34.74,-114.50
19980310 22:30,-115.60,-18.44,39.74,-87.06,-16.31,33.17,-114.00
19980310 23:30,-126.30,-0.12,50.60,-103.77,-8.34,34.38,-110.50
19980311 00:30,-112.66,-9.28,49.56,-94.70,-9.24,34.02,-103.00
19980504 03:30,-62.15,46.10,58.80,-60.79,31.26,29.18,-119.00
19980504 09:30,-91.78,13.96,59.63,-88.48,7.30,51.06,-130.00
19980504 10:30,-91.90,48.47,61.66,-93.72,29.73,48.31,-130.50
19980504 11:30,-108.80,38.77,46.77,-110.10,25.06,47.72,-137.50
19980504 12:30,-122.52,4.88,33.00,-122.74,-11.23,45.77,-125.00
19980504 13:30,-103.38,12.92,45.07,-96.79,1.82,41.13,-108.00
19980504 14:30,-82.02,-6.14,35.90,-93.21,3.40,38.64,-107.50
19980504 15:30,-71.07,-15.29,36.36,-86.13,-3.60,36.88,-113.00
19980504 16:30,-71.94,-14.80,40.57,-85.70,-6.33,37.13,-114.50
19980504 17:30,-83.22,1.18,42.43,-81.37,-3.24,38.42,-110.50
19980504 18:30,-94.54,14.65,43.08,-78.10,2.28,37.54,-107.00
19980504 19:30,-102.77,11.72,41.88,-79.25,6.09,36.01,-103.50
19980505 03:30,-78.49,18.41,47.42,-75.18,14.39,29.32,-104.00
19980505 04:30,-99.47,28.74,41.62,-92.14,16.26,31.70,-116.50
19980505 05:30,-83.83,-2.73,44.67,-79.63,-12.07,32.92,-109.50
19980505 06:30,-87.21,-1.47,39.27,-93.40,-5.44,32.67,-104.50
19980505 07:30,-104.55,-5.68,40.58,-87.01,-9.93,34.07,-106.50
19980505 08:30,-93.84,1.04,50.86,-84.48,-4.52,35.34,-108.00
19980505 09:30,-85.63,7.38,51.11,-88.29,0.51,35.13,-105.50
19980505 10:30,-93.11,9.99,44.88,-90.08,4.38,34.75,-103.00
19980505 15:30,-94.03,-48.04,29.69,-79.49,-40.60,31.10,-104.50
19980505 16:30,-57.52,-30.38,55.98,-73.81,-20.98,30.73,-101.00
19980806 09:30,-44.70,-85.13,-22.14,-114.53,-48.71,18.95,-101.50
