date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-306.50
20010331 07:30,-319.01,10.30,-16.55,-338.44,6.64,77.37,-369.00
20010331 08:30,-335.69,39.84,10.31,-345.45,-5.74,79.17,-366.50
20010331 09:30,-261.98,25.85,54.99,-278.59,0.27,79.39,-331.50
20010331 10:30,-232.43,28.27,72.21,-236.68,9.81,79.21,-304.50
20031029 22:30,-290.09,-37.92,110.62,-250.71,51.38,98.63,-315.50
20031029 23:30,-379.12,-36.67,92.89,-308.87,32.42,117.77,-351.50
20031030 00:30,-343.16,20.11,140.51,-319.62,45.44,119.38,-347.00
20031030 01:30,-351.63,29.96,102.38,-284.84,24.00,122.71,-338.00
20031030 02:30,-322.61,58.97,117.48,-257.37,35.52,116.40,-319.00
20031030 21:30,-277.96,-120.83,107.29,-329.72,33.82,108.19,-349.50
20031030 22:30,-422.48,-49.98,127.88,-413.81,-33.29,125.20,-377.00
20031030 23:30,-361.50,-3.27,133.94,-357.41,-29.72,129.51,-339.00
20031120 17:30,-506.00,-20.92,-61.92,-464.40,-187.40,71.02,-362.50
20031120 18:30,-519.63,-39.77,-24.90,-495.28,-120.34,82.50,-404.50
20031120 19:30,-478.75,-88.24,21.46,-454.29,-129.58,91.13,-417.50
20031120 20:30,-374.09,-96.57,84.77,-380.82,-86.95,101.72,-422.00
20031120 21:30,-359.72,-124.62,103.18,-364.22,-68.02,113.96,-413.50
20031120 22:30,-369.47,-68.82,133.36,-365.51,-31.51,121.45,-374.00
20031120 23:30,-303.02,-24.04,151.64,-300.45,-22.29,121.65,-326.00
20041108 03:30,NaN,NaN,NaN,NaN,NaN,NaN,-307.00
20041108 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-355.00
20041108 05:30,-269.66,70.03,48.12,-371.65,37.51,86.50,-371.00
20041108 06:30,-347.41,18.55,28.28,-339.71,-2.46,84.68,-358.50
20041108 07:30,-276.90,-28.69,56.59,-311.11,-47.85,81.65,-331.50
20041108 08:30,-138.83,17.09,72.88,-291.79,-55.91,73.27,-309.50
