date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,20.03,31.79,29.58,34.19,21.97,-0.49,59.50
19990416 15:30,22.53,26.28,22.83,39.84,23.84,-5.72,58.00
20011229 06:30,13.71,0.01,29.27,16.12,-0.43,2.59,54.50
20011229 07:30,14.45,-8.05,24.50,15.52,-8.12,1.37,50.50
20011229 10:30,37.60,-5.52,26.39,33.21,-6.35,-0.65,51.00
20020318 14:30,43.90,28.69,29.26,53.28,29.04,2.28,56.00
20020318 15:30,45.00,36.32,28.32,57.85,32.13,-2.29,59.00
20020318 16:30,43.11,39.43,16.48,55.29,29.88,-5.90,59.00
20020318 17:30,37.47,27.69,-8.58,52.62,21.72,-9.51,52.50
20041107 11:30,20.62,6.41,31.86,32.19,-2.29,0.51,52.50
20041205 08:30,17.21,-5.82,40.29,29.83,-6.36,9.56,60.00
20120122 06:30,20.36,2.70,10.32,18.98,0.71,3.40,51.50
20120122 07:30,25.19,2.81,7.34,26.89,-1.60,0.52,52.50
20120616 21:30,55.12,-16.05,17.77,54.61,-22.29,-1.63,67.50
20120616 22:30,63.71,-28.57,19.23,71.16,-41.11,-4.78,64.00
20120616 23:30,27.57,-21.62,2.35,34.53,-32.19,-0.83,58.00
20120617 00:30,41.74,-21.80,7.97,53.04,-29.53,-0.82,62.50
20120617 01:30,36.80,-19.02,7.85,47.60,-23.04,-0.08,50.50
