date,Bx,By,Bz,Mx,My,Mz,dst
20000406 21:30,-177.75,77.64,78.10,-163.68,85.62,80.61,-261.00
20000406 22:30,-229.88,134.79,83.27,-199.13,137.05,92.02,-278.50
20000406 23:30,-234.01,180.82,59.25,-228.74,178.94,97.79,-279.00
20000407 00:30,-238.92,127.34,31.30,-237.57,136.44,99.17,-269.50
20000715 21:30,-231.51,32.36,31.67,-259.35,78.08,83.75,-284.50
20000715 22:30,-226.90,105.30,27.24,-245.36,122.70,90.07,-280.00
20000715 23:30,-182.28,89.36,61.43,-174.32,91.28,97.13,-290.00
20000716 00:30,-177.22,147.14,72.26,-198.38,116.69,101.00,-300.00
20000716 01:30,-168.74,104.17,61.99,-172.71,87.80,98.56,-289.00
20000716 02:30,-146.22,50.15,74.25,-149.68,48.91,95.99,-268.50
20010331 11:30,-160.76,45.33,57.01,-173.32,59.39,72.62,-275.50
20010331 12:30,-167.65,27.15,60.61,-163.06,35.76,69.48,-254.00
20010331 17:30,-135.17,44.90,179.57,-150.09,54.48,96.23,-250.50
20010331 18:30,-221.45,106.25,158.17,-198.03,109.16,103.76,-261.50
20010331 19:30,-222.94,96.59,124.88,-198.65,89.34,107.71,-262.50
20010331 20:30,-216.16,126.74,86.23,-189.63,118.19,106.09,-270.00
20010331 21:30,-210.87,75.74,91.05,-187.65,77.74,106.25,-276.50
20010331 22:30,-166.49,28.13,80.55,-171.81,46.21,101.24,-251.00
20010411 23:30,-212.95,112.88,70.35,-196.83,123.55,99.17,-253.50
20011106 03:30,-302.31,43.30,-101.85,-326.67,41.15,63.89,-275.00
20011106 04:30,-196.66,55.93,-73.73,-222.20,61.60,54.20,-284.50
20011106 05:30,-230.18,48.52,-36.79,-216.30,51.98,53.93,-290.00
20011106 06:30,-227.45,51.75,1.85,-190.34,54.87,60.26,-284.00
20011106 07:30,-193.61,62.53,21.28,-169.57,60.50,66.30,-276.00
20011106 08:30,-155.81,45.77,37.25,-144.84,48.57,70.11,-267.50
20031029 20:30,-289.98,212.56,100.33,-215.93,207.16,112.13,-260.50
20031029 21:30,-253.12,138.01,97.78,-221.98,137.40,110.63,-274.50
20031030 03:30,-180.39,90.49,5.73,-192.21,74.50,88.74,-288.00
20031030 04:30,-197.00,61.30,46.16,-189.45,47.06,90.64,-258.50
20031030 20:30,-240.14,266.46,60.26,-182.42,231.71,104.96,-278.00
20031031 00:30,-320.66,63.44,-7.52,-336.70,92.00,125.36,-276.50
20031120 16:30,-278.83,92.88,189.90,-239.94,70.46,124.02,-279.00
20031121 00:30,-249.01,87.91,119.95,-242.35,101.82,150.91,-282.50
20041108 09:30,-203.10,60.23,53.45,-176.32,43.66,88.09,-266.50
20041110 07:30,-188.04,-6.70,0.34,-193.35,8.69,63.86,-258.50
20041110 08:30,-278.24,-61.36,-1.10,-239.42,-39.24,71.19,-258.00
20041110 09:30,-270.40,25.57,27.16,-217.85,-8.04,84.07,-260.50
