date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,17.76,-25.02,7.58,14.18,-25.54,-3.63,59.50
19990416 15:30,24.29,-38.48,0.27,22.51,-42.04,-6.53,58.00
20011229 06:30,25.45,-20.83,10.98,24.58,-18.10,2.58,54.50
20011229 07:30,36.11,-20.56,7.47,33.77,-18.20,1.53,50.50
20011229 10:30,48.86,-9.48,10.54,46.88,-8.45,-2.53,51.00
20020318 14:30,14.38,-28.57,-2.23,14.69,-23.83,-11.62,56.00
20020318 15:30,22.09,-43.55,-6.80,21.14,-36.72,-14.36,59.00
20020318 16:30,24.05,-48.70,-5.73,21.35,-43.72,-15.25,59.00
20020318 17:30,34.35,-51.88,-1.02,30.24,-48.54,-14.66,52.50
20041107 11:30,37.43,-17.81,9.03,37.67,-9.01,0.49,52.50
20041205 08:30,34.48,-12.31,14.32,35.49,-10.71,9.33,60.00
20120122 06:30,16.67,-7.79,2.69,15.56,-3.91,2.61,51.50
20120122 07:30,31.15,-11.03,-1.16,28.39,-7.84,-0.27,52.50
20120616 21:30,65.53,-37.92,13.83,60.10,-32.63,10.74,67.50
20120616 22:30,85.32,-23.55,14.02,85.02,-21.18,9.35,64.00
20120616 23:30,41.89,-2.90,14.01,44.54,0.12,12.47,58.00
20120617 00:30,63.37,0.26,15.58,64.90,4.36,10.57,62.50
20120617 01:30,64.41,4.10,14.37,59.62,7.20,9.22,50.50
