date,Bx,By,Bz,Mx,My,Mz,dst
19980925 08:30,-149.92,-31.03,18.04,-185.69,-24.61,55.16,-201.50
19991022 05:30,-236.60,-40.26,88.04,-161.28,-8.09,73.07,-221.00
19991022 06:30,-252.10,-3.46,100.80,-209.17,-7.83,83.48,-232.50
19991022 07:30,-208.45,38.56,78.07,-237.99,-9.12,78.86,-217.00
20000406 20:30,-171.56,-55.15,-12.24,-160.57,-99.75,27.41,-215.00
20000407 01:30,-250.70,-113.98,124.04,-220.19,-61.07,104.17,-237.00
20000407 02:30,-200.69,-75.41,93.01,-182.25,-50.63,93.99,-211.50
20000407 03:30,-179.43,-62.06,87.78,-168.89,-50.80,88.12,-204.50
20000407 04:30,-182.24,-56.07,84.36,-177.26,-41.97,86.56,-206.00
20000715 20:30,-369.39,55.31,-29.14,-233.03,-19.20,12.70,-243.00
20000716 03:30,-197.55,-70.62,70.55,-183.85,-59.21,70.63,-245.50
20000716 04:30,-173.83,-35.85,76.18,-173.00,-41.71,68.15,-220.00
20000716 05:30,-152.00,-37.29,74.54,-155.50,-35.42,65.50,-201.50
20000812 08:30,-147.95,-21.12,26.72,-221.25,-29.08,62.87,-218.50
20000812 09:30,-185.53,6.17,13.57,-238.37,-19.14,64.02,-229.00
20000812 10:30,-151.75,-43.14,2.72,-213.20,-43.25,64.84,-207.50
20010331 05:30,-156.29,-93.46,59.03,-147.75,-27.84,42.85,-209.00
20010331 13:30,-198.96,-41.38,49.20,-196.48,-30.13,80.18,-234.50
20010331 14:30,-159.40,-12.85,57.73,-146.07,-17.82,74.75,-221.00
20010331 15:30,-180.12,-29.00,48.97,-151.57,-8.65,68.11,-218.00
20010331 16:30,-142.48,-106.52,16.07,-150.44,-62.68,60.26,-230.50
20010331 23:30,-191.63,-33.25,78.87,-158.57,-22.56,81.10,-230.50
20010401 00:30,-175.42,-31.33,70.41,-158.50,-23.31,79.54,-220.50
20010401 01:30,-155.60,-37.06,62.87,-150.98,-23.77,78.48,-209.00
20010411 21:30,-182.46,-47.77,9.46,-161.87,-71.49,34.54,-210.00
20010411 22:30,-203.15,-85.74,25.01,-180.80,-100.84,50.92,-243.00
20010412 00:30,-161.03,-96.82,86.32,-165.63,-65.01,79.90,-225.50
20010412 01:30,-170.81,-79.29,91.93,-157.48,-59.85,80.39,-212.50
20011106 09:30,-216.37,-53.66,67.52,-192.99,-26.60,80.15,-247.00
20011106 10:30,-198.74,-55.93,64.04,-169.62,-29.82,76.46,-224.00
20011106 11:30,-177.80,-41.09,68.00,-147.58,-22.25,72.16,-206.50
20011106 14:30,-159.51,-52.94,55.73,-144.21,-35.37,66.82,-212.50
20011106 15:30,-146.17,-78.92,41.91,-152.57,-49.04,65.25,-214.00
20011124 14:30,-156.14,-68.74,-44.37,-175.42,-53.99,38.84,-206.50
20011124 15:30,-168.81,-79.67,-30.14,-153.44,-52.41,41.63,-216.00
20011124 16:30,-157.31,-34.30,7.30,-144.73,-20.16,49.33,-218.50
20011124 17:30,-146.78,-34.01,29.98,-143.28,-25.91,55.46,-210.50
20031029 19:30,-411.73,-33.55,-20.21,-241.02,-98.94,46.28,-233.00
20031030 05:30,-185.64,-27.71,103.08,-186.95,-32.54,101.01,-232.00
20031030 06:30,-162.12,-16.55,91.28,-168.60,-26.19,92.38,-211.50
20031031 01:30,-204.09,-61.87,122.59,-206.20,-31.51,114.81,-245.00
20031031 02:30,-197.66,-47.58,114.10,-181.17,-40.45,108.58,-242.50
20031031 03:30,-198.60,-21.64,107.52,-188.98,-22.91,103.04,-218.50
20031121 01:30,-198.01,-54.02,100.50,-196.03,-31.27,103.17,-243.00
20031121 02:30,-194.08,-36.92,98.47,-183.30,-14.78,95.19,-212.00
20041108 01:30,-270.48,-33.88,108.64,-142.60,-38.12,77.21,-205.00
20041108 02:30,-242.13,-39.87,117.22,-192.08,-41.45,87.43,-248.00
20041108 10:30,-142.79,-58.84,3.67,-214.48,-90.79,67.21,-224.50
20041110 05:30,-221.89,43.26,77.38,-173.63,64.02,72.12,-218.50
20041110 06:30,-234.98,-19.04,78.02,-196.42,4.42,81.75,-249.50
20041110 10:30,-199.53,-54.22,-18.01,-256.74,-85.58,64.83,-247.50
20041110 11:30,-77.92,-112.00,-23.49,-188.72,-117.45,57.79,-233.00
20041110 12:30,-96.84,-66.70,-10.94,-173.99,-81.17,57.10,-220.00
20050515 07:30,-229.07,10.60,-21.83,-276.67,-14.24,48.83,-238.00
20050515 08:30,-148.98,-1.58,-14.12,-254.74,-13.37,60.43,-234.50
20050515 09:30,-168.79,-4.87,-30.82,-173.49,-0.74,61.92,-203.00
20150317 21:30,-173.70,-67.21,24.64,-169.86,-93.28,52.31,-216.00
20150317 22:30,-172.47,-60.97,37.50,-193.98,-67.46,63.98,-229.50
20150317 23:30,-173.25,-108.37,53.71,-162.26,-87.98,75.97,-212.50
