date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,24.10,28.29,17.37,26.54,36.05,3.58,59.50
19990416 15:30,20.97,45.20,18.10,31.35,46.32,-0.60,58.00
20011229 06:30,11.60,0.50,17.72,13.82,8.71,2.80,54.50
20011229 07:30,7.77,-6.79,14.84,10.27,0.66,1.03,50.50
20011229 10:30,21.05,-8.05,12.15,24.42,2.24,-0.29,51.00
20020318 14:30,35.01,19.15,12.30,41.46,31.03,5.57,56.00
20020318 15:30,41.51,30.51,12.80,47.45,40.01,2.03,59.00
20020318 16:30,42.39,40.03,14.89,45.59,41.36,-0.72,59.00
20020318 17:30,41.26,52.33,10.92,43.08,41.13,-4.09,52.50
20041107 11:30,11.79,4.21,19.09,21.25,10.68,1.20,52.50
20041205 08:30,11.19,-4.02,26.59,18.40,0.32,9.81,60.00
20120122 06:30,18.72,0.07,-0.12,16.89,-1.52,2.98,51.50
20120122 07:30,22.45,2.80,0.05,24.01,1.40,0.09,52.50
20120616 21:30,42.22,-9.59,-3.51,48.08,-5.08,-4.02,67.50
20120616 22:30,55.39,-27.09,-15.45,64.08,-24.34,-9.63,64.00
20120616 23:30,34.93,-31.07,-16.25,31.32,-24.78,-6.40,58.00
20120617 00:30,46.34,-28.52,-9.20,51.83,-24.62,-7.12,62.50
20120617 01:30,35.91,-16.68,-3.32,47.32,-19.33,-6.46,50.50
