date,Bx,By,Bz,Mx,My,Mz,dst
20000406 21:30,-258.76,-0.90,12.05,-226.77,-16.44,20.59,-261.00
20000406 22:30,-300.17,-17.20,12.13,-264.80,-49.19,16.02,-278.50
20000406 23:30,-296.85,-21.31,7.81,-273.46,-73.04,12.07,-279.00
20000407 00:30,-345.54,-42.42,17.48,-359.19,-92.68,10.24,-269.50
20000715 21:30,NaN,NaN,NaN,NaN,NaN,NaN,-284.50
20000715 22:30,NaN,NaN,NaN,NaN,NaN,NaN,-280.00
20000715 23:30,NaN,NaN,NaN,NaN,NaN,NaN,-290.00
20000716 00:30,NaN,NaN,NaN,NaN,NaN,NaN,-300.00
20000716 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-289.00
20000716 02:30,NaN,NaN,NaN,NaN,NaN,NaN,-268.50
20010331 11:30,-331.60,-33.24,-0.56,-302.34,-33.06,20.44,-275.50
20010331 12:30,-302.34,-34.96,3.01,-281.45,-30.65,21.70,-254.00
20010331 17:30,-247.75,-36.47,9.96,-217.86,-34.88,20.53,-250.50
20010331 18:30,-214.54,-40.49,8.06,-182.74,-35.02,24.03,-261.50
20010331 19:30,-253.60,-34.92,10.30,-239.99,-46.89,24.37,-262.50
20010331 20:30,-218.11,-30.88,0.77,-207.81,-41.96,23.68,-270.00
20010331 21:30,-251.46,-40.09,1.09,-251.26,-34.24,22.97,-276.50
20010331 22:30,-238.24,-37.18,-9.91,-267.59,-20.61,21.45,-251.00
20010411 23:30,-310.06,-50.63,21.82,-257.10,-62.92,14.54,-253.50
20011106 03:30,-268.66,10.35,-17.65,-398.76,-29.09,18.52,-275.00
20011106 04:30,-346.27,-23.46,-1.50,-377.30,-73.77,18.84,-284.50
20011106 05:30,-327.36,-4.28,3.01,-333.14,-43.30,19.67,-290.00
20011106 06:30,-306.02,-7.32,5.51,-288.65,-33.66,17.89,-284.00
20011106 07:30,-267.45,-17.29,7.26,-267.10,-23.31,17.51,-276.00
20011106 08:30,-277.98,-14.68,7.01,-269.30,-27.76,19.34,-267.50
20031029 20:30,-205.16,-82.71,14.61,-158.08,-93.37,22.25,-260.50
20031029 21:30,-283.81,-77.42,22.94,-210.89,-120.42,24.90,-274.50
20031030 03:30,-363.01,-14.82,40.23,-342.27,-40.22,24.28,-288.00
20031030 04:30,-316.54,-19.70,39.73,-298.46,-29.20,25.10,-258.50
20031030 20:30,-239.65,-85.07,19.84,-190.21,-130.96,22.23,-278.00
20031031 00:30,-306.35,-36.59,-12.54,-361.79,-41.50,26.42,-276.50
20031120 16:30,-260.14,-55.84,3.51,-247.79,-21.03,7.46,-279.00
20031121 00:30,-282.49,-90.08,20.52,-304.20,-54.88,21.55,-282.50
20041108 09:30,-376.31,-13.45,-1.59,-369.67,-15.42,15.47,-266.50
20041110 07:30,-367.07,-26.43,7.65,-426.12,-38.62,18.33,-258.50
20041110 08:30,-390.68,-12.62,3.16,-445.46,-21.47,20.64,-258.00
20041110 09:30,-351.09,-1.26,-1.05,-356.13,-24.85,20.03,-260.50
