date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,-301.82,-48.36,-13.07,-365.45,-32.80,11.21,-306.50
20010331 07:30,-446.45,-46.69,-12.86,-550.31,-20.01,14.11,-369.00
20010331 08:30,-459.54,-22.71,-20.57,-507.20,-9.07,16.03,-366.50
20010331 09:30,-400.00,-33.30,-12.71,-379.97,-42.21,17.47,-331.50
20010331 10:30,-370.10,-33.29,-1.37,-337.13,-50.09,19.02,-304.50
20031029 22:30,-282.47,-67.71,23.82,-297.85,-128.06,21.40,-315.50
20031029 23:30,-352.61,-70.02,32.26,-334.52,-137.71,21.87,-351.50
20031030 00:30,-362.11,-43.28,27.25,-421.86,-71.56,26.36,-347.00
20031030 01:30,-337.88,-19.51,23.20,-364.50,-65.40,22.19,-338.00
20031030 02:30,-376.70,-5.88,29.63,-416.43,-38.17,22.30,-319.00
20031030 21:30,-362.28,-68.10,10.09,-347.15,-138.04,27.00,-349.50
20031030 22:30,-399.28,-76.79,14.69,-363.68,-99.14,27.20,-377.00
20031030 23:30,-371.12,-59.17,-4.67,-336.91,-77.30,25.56,-339.00
20031120 17:30,-373.95,-82.16,12.77,-348.98,-98.62,9.31,-362.50
20031120 18:30,-460.48,-55.50,0.59,-458.74,-75.44,15.22,-404.50
20031120 19:30,-461.03,-51.55,-1.26,-446.86,-62.85,14.82,-417.50
20031120 20:30,-418.34,-74.82,-6.45,-390.94,-71.88,15.30,-422.00
20031120 21:30,-368.00,-82.47,-7.71,-374.31,-63.79,16.49,-413.50
20031120 22:30,-330.88,-94.59,-1.37,-313.16,-71.76,18.44,-374.00
20031120 23:30,-282.01,-96.20,7.33,-309.82,-60.17,17.84,-326.00
20041108 03:30,-303.63,15.87,14.52,-393.54,5.64,18.17,-307.00
20041108 04:30,-410.12,8.54,0.41,-543.06,1.79,17.82,-355.00
20041108 05:30,-451.00,-7.29,-6.13,-565.98,-10.75,19.96,-371.00
20041108 06:30,-427.63,-21.47,-11.62,-502.27,-8.15,14.99,-358.50
20041108 07:30,-383.81,-22.84,-4.73,-405.66,-24.30,14.24,-331.50
20041108 08:30,-403.22,-16.97,0.68,-416.44,-35.34,15.65,-309.50
