date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,18.23,1.79,3.78,11.61,2.61,17.45,59.50
19990416 15:30,26.03,6.97,5.23,17.47,6.59,18.78,58.00
20011229 06:30,48.76,39.14,8.31,52.16,29.52,19.03,54.50
20011229 07:30,52.05,38.93,1.03,46.02,34.03,16.33,50.50
20011229 10:30,42.13,22.00,-7.81,37.89,14.39,11.26,51.00
20020318 14:30,20.90,3.27,-2.46,8.59,2.99,8.89,56.00
20020318 15:30,26.15,5.45,-2.52,14.85,3.01,9.76,59.00
20020318 16:30,27.33,9.36,-1.36,14.66,4.74,10.43,59.00
20020318 17:30,28.91,11.34,-1.52,20.89,5.38,10.75,52.50
20041107 11:30,22.52,11.71,-2.47,20.91,8.19,12.94,52.50
20041205 08:30,42.13,24.89,-4.06,37.40,26.86,13.09,60.00
20120122 06:30,31.70,16.03,6.51,33.72,12.72,1.75,51.50
20120122 07:30,41.42,13.83,5.71,45.92,12.62,0.83,52.50
20120616 21:30,51.59,29.53,2.69,57.05,26.47,3.44,67.50
20120616 22:30,80.12,40.26,3.97,93.14,31.31,1.34,64.00
20120616 23:30,44.53,24.90,3.28,54.90,14.61,1.32,58.00
20120617 00:30,64.00,17.55,1.90,80.95,12.82,0.31,62.50
20120617 01:30,55.20,14.99,7.32,74.11,9.30,0.38,50.50
