date,Bx,By,Bz,Mx,My,Mz,dst
19980925 08:30,-127.82,14.14,-5.37,-101.12,4.86,50.17,-201.50
19991022 05:30,-74.41,99.69,-78.23,-121.89,69.24,39.93,-221.00
19991022 06:30,-143.82,53.83,-83.55,-153.52,54.06,46.37,-232.50
19991022 07:30,-124.71,24.52,-56.85,-125.49,-0.01,51.02,-217.00
20000406 20:30,-115.98,26.79,96.45,-103.35,66.94,67.00,-215.00
20000407 01:30,-156.50,149.61,14.38,-157.69,126.79,98.70,-237.00
20000407 02:30,-148.01,94.68,72.30,-137.82,79.91,92.80,-211.50
20000407 03:30,-140.85,110.45,87.72,-130.70,89.64,89.13,-204.50
20000407 04:30,-149.07,86.99,75.67,-143.37,72.25,87.99,-206.00
20000715 20:30,-77.04,-52.50,38.69,-107.82,-0.30,56.08,-243.00
20000716 03:30,-105.26,54.73,75.21,-114.46,54.29,96.76,-245.50
20000716 04:30,-124.54,44.59,70.93,-123.51,52.94,90.69,-220.00
20000716 05:30,-103.65,57.42,67.99,-115.87,52.96,83.99,-201.50
20000812 08:30,-192.39,36.60,-33.44,-148.21,46.22,60.33,-218.50
20000812 09:30,-187.02,10.36,-29.68,-155.51,22.78,67.70,-229.00
20000812 10:30,-162.41,31.34,10.24,-144.40,39.07,71.34,-207.50
20010331 05:30,-123.44,43.46,-80.13,-131.35,75.97,41.31,-209.00
20010331 13:30,-172.90,17.78,89.96,-160.83,11.48,78.47,-234.50
20010331 14:30,-143.32,16.17,87.19,-137.82,24.84,75.10,-221.00
20010331 15:30,-52.62,-14.07,139.76,-104.17,-13.26,77.80,-218.00
20010331 16:30,38.64,-35.67,234.45,-81.10,22.14,87.82,-230.50
20010331 23:30,-129.60,35.05,31.41,-131.26,41.15,97.41,-230.50
20010401 00:30,-118.68,36.49,64.16,-121.59,42.14,93.46,-220.50
20010401 01:30,-126.01,38.04,71.21,-118.11,52.45,89.70,-209.00
20010411 21:30,-83.17,-22.29,159.85,-92.75,7.77,89.19,-210.00
20010411 22:30,-178.89,66.93,53.78,-139.10,102.96,94.97,-243.00
20010412 00:30,-151.02,121.31,28.77,-131.08,118.87,96.90,-225.50
20010412 01:30,-105.81,122.54,51.11,-94.60,113.68,87.31,-212.50
20011106 09:30,-117.76,40.36,49.40,-115.68,40.85,75.98,-247.00
20011106 10:30,-99.37,44.26,54.22,-105.65,43.09,74.67,-224.00
20011106 11:30,-92.37,39.84,52.28,-101.03,39.14,72.24,-206.50
20011106 14:30,-98.45,50.77,82.29,-111.03,47.85,71.58,-212.50
20011106 15:30,-107.21,46.63,95.09,-124.17,38.02,77.24,-214.00
20011124 14:30,-108.50,11.50,127.05,-140.35,-7.86,79.61,-206.50
20011124 15:30,-141.92,-10.76,167.32,-145.79,15.86,84.27,-216.00
20011124 16:30,-145.70,13.42,120.13,-143.77,31.18,84.33,-218.50
20011124 17:30,-138.32,36.53,101.16,-127.27,48.73,80.56,-210.50
20031029 19:30,-197.81,80.98,249.61,-162.00,85.40,104.47,-233.00
20031030 05:30,-153.04,47.85,60.36,-151.56,36.52,97.65,-232.00
20031030 06:30,-141.85,40.53,68.92,-135.50,23.35,95.82,-211.50
20031031 01:30,-174.10,15.16,-14.08,-177.56,57.35,121.33,-245.00
20031031 02:30,-154.35,59.53,38.66,-145.65,52.53,114.70,-242.50
20031031 03:30,-149.30,33.38,69.02,-151.43,27.24,112.77,-218.50
20031121 01:30,-191.16,54.62,109.77,-183.59,67.74,144.55,-243.00
20031121 02:30,-162.02,27.26,101.02,-166.62,41.66,132.26,-212.00
20041108 01:30,-99.73,284.34,12.36,-66.97,206.46,50.92,-205.00
20041108 02:30,-137.68,208.27,-66.40,-125.90,148.91,50.68,-248.00
20041108 10:30,-170.94,45.65,85.04,-136.91,21.25,93.87,-224.50
20041110 05:30,-60.62,-31.80,-32.15,-142.78,-15.80,60.33,-218.50
20041110 06:30,-103.13,-12.50,-40.49,-148.13,21.47,64.38,-249.50
20041110 10:30,-209.69,57.36,77.32,-161.67,13.72,103.94,-247.50
20041110 11:30,-171.21,33.21,118.46,-136.19,16.87,108.14,-233.00
20041110 12:30,-169.17,19.98,122.41,-147.38,12.12,109.36,-220.00
20050515 07:30,-181.01,21.80,-55.33,-159.98,57.86,56.34,-238.00
20050515 08:30,-149.60,52.67,-39.05,-134.74,53.94,58.74,-234.50
20050515 09:30,-116.40,15.18,2.60,-118.01,18.41,55.93,-203.00
20150317 21:30,-176.98,121.57,64.74,-121.35,125.37,92.68,-216.00
20150317 22:30,-175.04,95.40,31.87,-153.36,110.56,95.65,-229.50
20150317 23:30,-155.94,166.83,30.91,-112.77,175.45,90.11,-212.50
