date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,14.22,-24.66,9.65,8.77,-22.61,-3.68,59.50
19990416 15:30,20.28,-37.89,5.46,15.43,-40.04,-7.03,58.00
20011229 06:30,21.67,-16.73,9.36,20.00,-15.88,3.08,54.50
20011229 07:30,32.29,-17.66,7.21,28.61,-17.01,1.94,50.50
20011229 10:30,44.09,-12.47,8.97,41.34,-8.42,-2.27,51.00
20020318 14:30,10.29,-25.79,-1.48,8.07,-18.95,-11.00,56.00
20020318 15:30,16.12,-43.70,-6.63,13.44,-32.53,-14.20,59.00
20020318 16:30,16.40,-53.11,-7.15,13.79,-40.34,-15.53,59.00
20020318 17:30,29.22,-57.59,-2.86,22.96,-47.52,-15.37,52.50
20041107 11:30,30.56,-12.97,9.36,32.90,-9.11,1.13,52.50
20041205 08:30,29.56,-9.04,15.77,30.21,-9.08,10.78,60.00
20120122 06:30,15.30,-4.76,4.01,13.00,-2.18,3.04,51.50
20120122 07:30,27.62,-7.66,-1.82,24.89,-7.18,-0.01,52.50
20120616 21:30,67.02,-37.54,12.79,57.64,-36.73,9.97,67.50
20120616 22:30,82.63,-28.66,13.93,84.35,-27.36,8.13,64.00
20120616 23:30,41.63,-9.63,17.55,46.33,-4.31,11.62,58.00
20120617 00:30,63.35,-3.51,20.10,65.45,0.29,9.81,62.50
20120617 01:30,64.75,2.12,16.60,59.56,4.19,8.55,50.50
