min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,120.87619915879603,49.520523445412934,160.59222648588042
-300.0,-250.0,58.36508700482747,30.32980003676698,116.51440349425312
-250.0,-200.0,29.653690855539928,24.214802553641945,67.56596762687509
-200.0,-150.0,23.512494336072603,23.531035490390135,56.18385899471895
-150.0,-100.0,20.367616373043187,19.617807803923306,38.84579244265378
-100.0,-50.0,12.067183877659701,12.041468809929585,19.90227491354362
-50.0,0.0,5.378928225702147,5.244375705193402,7.358882062311628
0.0,50.0,3.815391857031088,4.8192033318802805,6.1175680507773595
50.0,inf,4.070552788012949,5.444498752563606,8.320628982635066

