date,Bx,By,Bz,Mx,My,Mz,dst
19970110 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-52.50
19970110 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-71.00
19970110 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-75.50
19970110 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-65.50
19970110 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.00
19970110 12:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 13:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-61.00
19970110 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.50
19970110 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-56.50
19970110 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.00
19970209 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.50
19970209 19:30,NaN,NaN,NaN,NaN,NaN,NaN,-55.00
19970209 20:30,NaN,NaN,NaN,NaN,NaN,NaN,-56.00
19970209 21:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.00
19970210 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.50
19970210 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-55.50
19970210 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-58.50
19970210 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-61.50
19970210 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-65.50
19970210 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-68.00
19970210 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-66.50
19970210 12:30,NaN,NaN,NaN,NaN,NaN,NaN,-63.00
19970210 13:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.50
19970210 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.00
19970210 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.50
19970210 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.00
19970210 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.00
19970210 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-56.00
19970210 19:30,NaN,NaN,NaN,NaN,NaN,NaN,-52.50
19970211 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-54.50
19970211 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.00
19970211 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-54.50
19970217 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-52.50
19970217 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-52.00
19970227 22:30,NaN,NaN,NaN,NaN,NaN,NaN,-73.50
19970227 23:30,NaN,NaN,NaN,NaN,NaN,NaN,-81.00
19970228 00:30,NaN,NaN,NaN,NaN,NaN,NaN,-70.00
19970228 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-65.50
19970228 02:30,NaN,NaN,NaN,NaN,NaN,NaN,-65.50
19970228 03:30,NaN,NaN,NaN,NaN,NaN,NaN,-63.50
19970228 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-64.00
19970228 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.50
19970228 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-55.00
19970228 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-54.00
19970228 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-54.50
19970228 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-54.50
19970228 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-54.50
19970228 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-55.00
19970228 12:30,NaN,NaN,NaN,NaN,NaN,NaN,-50.50
19970228 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-54.00
19970228 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.50
19970328 21:30,NaN,NaN,NaN,NaN,NaN,NaN,-54.00
19970328 22:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.50
19970328 23:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.50
19970329 00:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.00
19970329 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-53.00
19970411 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-67.50
19970411 02:30,NaN,NaN,NaN,NaN,NaN,NaN,-73.50
19970411 03:30,NaN,NaN,NaN,NaN,NaN,NaN,-77.50
19970411 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-77.00
19970411 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-70.50
19970411 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-69.00
19970411 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-61.50
