date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,-204.69,90.55,-77.68,-224.39,45.08,-33.90,-306.50
20010331 07:30,-234.18,186.70,-81.78,-269.19,114.86,-30.98,-369.00
20010331 08:30,-272.06,143.84,-76.85,-311.00,79.62,-26.37,-366.50
20010331 09:30,-238.34,100.29,-70.19,-273.22,69.49,-30.64,-331.50
20010331 10:30,-258.65,75.95,-54.61,-252.65,64.49,-34.36,-304.50
20031029 22:30,-206.95,28.88,-65.31,-253.00,55.44,-84.01,-315.50
20031029 23:30,-258.91,15.29,-61.40,-286.49,65.86,-79.50,-351.50
20031030 00:30,-284.61,88.52,-81.13,-293.27,39.49,-79.57,-347.00
20031030 01:30,-234.25,-8.31,-52.97,-276.36,38.92,-68.97,-338.00
20031030 02:30,-201.93,12.44,-39.15,-243.38,67.19,-53.19,-319.00
20031030 21:30,-245.09,61.12,-72.29,-335.35,71.54,-84.03,-349.50
20031030 22:30,-358.99,94.06,-93.32,-364.75,44.86,-95.16,-377.00
20031030 23:30,-376.86,0.48,-90.42,-369.95,39.51,-99.61,-339.00
20031120 17:30,-384.32,25.10,-125.85,-376.96,184.99,-106.21,-362.50
20031120 18:30,-436.20,54.69,-152.52,-543.65,119.65,-115.84,-404.50
20031120 19:30,-477.53,99.81,-166.03,-570.15,114.93,-125.88,-417.50
20031120 20:30,-467.21,95.38,-150.63,-482.21,89.32,-133.76,-422.00
20031120 21:30,-428.73,95.48,-131.52,-451.64,61.31,-135.81,-413.50
20031120 22:30,-414.13,30.53,-111.64,-404.66,7.41,-131.41,-374.00
20031120 23:30,-328.35,60.95,-94.64,-325.11,31.93,-122.01,-326.00
20041108 03:30,NaN,NaN,NaN,NaN,NaN,NaN,-307.00
20041108 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-355.00
20041108 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-371.00
20041108 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-358.50
20041108 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-331.50
20041108 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-309.50
