date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,32.53,-0.83,6.52,34.67,-3.16,-6.29,59.50
19990416 15:30,37.69,-5.58,6.66,36.91,-5.35,-4.53,58.00
20011229 06:30,16.82,-50.94,10.96,39.22,-36.85,-11.00,54.50
20011229 07:30,13.32,-52.79,25.79,42.24,-29.72,-6.47,50.50
20011229 10:30,26.90,-0.36,24.44,59.25,-0.07,0.94,51.00
20020318 14:30,53.02,16.16,7.44,60.05,1.40,-3.30,56.00
20020318 15:30,51.50,5.49,4.21,57.02,-1.32,-2.17,59.00
20020318 16:30,41.93,-1.10,3.70,48.83,-2.26,-1.54,59.00
20020318 17:30,35.20,1.97,1.44,40.55,0.94,-0.79,52.50
20041107 11:30,NaN,NaN,NaN,NaN,NaN,NaN,52.50
20041205 08:30,69.81,-21.53,0.42,55.16,-12.66,-10.03,60.00
20120122 06:30,46.47,-26.04,1.01,31.62,-16.08,-3.17,51.50
20120122 07:30,58.79,-19.98,-5.20,42.15,-14.03,-0.27,52.50
20120616 21:30,13.53,-4.22,-2.71,4.97,-4.81,-4.96,67.50
20120616 22:30,15.32,-2.38,-0.77,13.51,-4.93,-2.02,64.00
20120616 23:30,1.81,3.41,-6.41,1.90,1.71,-5.11,58.00
20120617 00:30,23.17,-1.38,-1.15,18.82,-2.61,-3.60,62.50
20120617 01:30,22.67,-5.13,0.63,22.70,-3.05,-2.39,50.50
