date,Bx,By,Bz,Mx,My,Mz,dst
19970421 22:30,-106.54,-33.09,12.80,-93.62,-53.72,13.62,-104.50
19970515 10:30,-122.93,-11.44,21.79,-109.04,-9.94,34.74,-108.00
19970515 11:30,-100.91,-7.64,23.59,-100.03,-29.50,32.14,-114.50
19970515 12:30,-79.22,-8.35,21.56,-93.80,-24.53,23.59,-113.00
19970515 13:30,-64.89,-13.99,19.48,-77.48,-38.15,19.47,-111.00
19970515 14:30,-64.06,0.95,21.99,-80.33,-31.77,16.18,-109.00
19970515 15:30,-82.21,-4.30,19.55,-94.37,-13.34,16.69,-101.00
19971011 00:30,-115.55,-11.11,13.50,-117.64,-43.21,23.65,-112.50
19971011 01:30,-132.43,-13.70,12.72,-137.41,-28.46,26.28,-120.50
19971011 02:30,-145.53,-24.11,11.69,-151.47,-16.44,28.68,-126.50
19971011 03:30,-150.32,-41.19,10.67,-158.93,-28.32,30.33,-122.00
19971011 04:30,-147.57,-29.92,19.96,-139.06,-13.73,32.03,-109.50
19971011 05:30,-127.01,-31.11,20.22,-123.31,-11.69,31.18,-101.50
19971107 03:30,-146.29,-14.27,19.68,-155.78,8.10,23.52,-108.00
19971107 04:30,-157.26,-14.80,20.79,-155.26,7.57,24.66,-103.50
19971123 03:30,NaN,NaN,NaN,NaN,NaN,NaN,-101.50
19971123 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-101.00
19971123 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-105.00
19971123 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-106.50
19971123 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-106.50
19971123 12:30,NaN,NaN,NaN,NaN,NaN,NaN,-102.00
19980310 18:30,-86.12,-18.72,22.26,-102.51,-32.44,9.63,-106.50
19980310 19:30,-85.69,-21.45,24.28,-92.08,-32.98,11.16,-111.50
19980310 20:30,-104.58,-22.92,23.80,-104.90,-46.98,12.89,-115.50
19980310 21:30,-95.25,-20.88,25.34,-86.20,-32.59,14.62,-114.50
19980310 22:30,-110.41,-14.01,21.20,-115.13,-26.71,14.44,-114.00
19980310 23:30,-134.13,-21.91,18.01,-134.95,-24.28,18.77,-110.50
19980311 00:30,-123.40,-21.87,20.05,-114.22,-19.90,20.39,-103.00
19980504 03:30,-149.38,-52.57,21.14,-162.87,11.80,30.89,-119.00
19980504 09:30,-120.05,-38.42,32.14,-139.71,-54.94,42.00,-130.00
19980504 10:30,-128.00,-38.55,30.02,-138.18,-41.41,40.93,-130.50
19980504 11:30,-139.38,-25.62,34.67,-148.48,-30.12,41.35,-137.50
19980504 12:30,-134.41,-24.67,30.57,-146.38,-24.21,36.89,-125.00
19980504 13:30,-116.49,-11.53,31.46,-113.88,-9.59,34.00,-108.00
19980504 14:30,-116.70,-7.64,27.98,-112.69,-7.28,33.48,-107.50
19980504 15:30,-111.18,-9.32,25.26,-98.92,-6.21,31.72,-113.00
19980504 16:30,-103.84,-22.72,19.42,-97.76,-15.52,31.41,-114.50
19980504 17:30,-94.04,-43.31,15.17,-96.04,-23.39,31.10,-110.50
19980504 18:30,-90.02,-43.15,21.03,-95.90,-16.63,31.21,-107.00
19980504 19:30,-92.73,-33.09,28.70,-97.62,-11.54,31.07,-103.50
19980505 03:30,-119.20,-17.89,20.17,-128.34,7.01,31.20,-104.00
19980505 04:30,-156.23,-28.41,23.67,-169.10,-4.38,35.75,-116.50
19980505 05:30,-142.26,-26.47,25.14,-155.25,-19.45,33.95,-109.50
19980505 06:30,-129.52,-14.83,27.34,-135.83,-8.66,33.45,-104.50
19980505 07:30,-117.70,-19.75,23.25,-119.57,-18.18,31.44,-106.50
19980505 08:30,-113.04,-22.49,22.25,-112.96,-18.51,30.90,-108.00
19980505 09:30,-107.59,-18.25,23.25,-109.80,-13.57,30.63,-105.50
19980505 10:30,-106.13,-14.12,23.10,-104.34,-10.24,30.44,-103.00
19980505 15:30,-74.81,2.48,16.20,-75.74,-8.76,22.63,-104.50
19980505 16:30,-86.76,-0.39,18.19,-87.53,-7.34,22.16,-101.00
19980806 09:30,-100.39,9.49,29.54,-166.86,12.51,16.87,-101.50
19980806 10:30,-113.80,-11.30,16.72,-166.88,-12.36,18.93,-125.00
19980806 11:30,-166.10,-9.16,26.27,-175.69,-16.09,24.05,-135.50
19980806 12:30,-127.86,0.26,29.42,-142.56,-2.50,24.45,-128.00
19980806 13:30,-135.59,0.62,27.51,-131.05,-20.64,25.89,-116.50
19980806 14:30,-127.62,-3.59,25.22,-127.90,-16.68,28.37,-109.50
19980806 15:30,-123.68,-9.96,24.05,-119.65,-7.06,30.18,-110.00
19980806 16:30,-120.64,-4.04,27.55,-120.41,-9.43,31.18,-110.50
19980806 17:30,-115.02,2.14,26.82,-119.59,-4.15,29.89,-108.00
19980806 18:30,-105.25,2.96,21.04,-116.64,7.35,27.81,-102.50
19980807 05:30,-152.57,-28.78,22.64,-162.85,-4.75,29.28,-102.50
19980827 00:30,-117.87,-50.19,11.26,-129.81,-46.63,23.90,-104.50
19980827 01:30,-143.94,-47.80,16.64,-160.91,-68.95,31.61,-121.50
19980827 02:30,-183.79,-54.00,19.74,-205.56,-61.98,33.57,-136.50
19980827 03:30,-193.32,-46.88,25.06,-212.22,-47.02,39.31,-139.00
19980827 04:30,-183.99,-29.64,28.93,-190.69,-22.69,39.21,-134.00
19980827 05:30,-171.92,-39.20,24.63,-161.66,-8.58,39.18,-130.50
19980827 06:30,-155.02,-45.30,25.30,-175.38,-21.17,37.88,-128.00
19980827 07:30,-131.73,-35.65,27.07,-189.40,-12.90,33.37,-137.50
19980827 09:30,-153.73,-23.96,30.76,-192.57,-0.44,27.73,-147.00
19980827 10:30,-124.58,-31.82,26.79,-158.45,-15.43,21.43,-130.50
19980827 11:30,-111.80,-38.06,24.11,-105.40,-9.03,16.86,-130.50
19980827 12:30,-114.57,-13.37,31.13,-109.86,-40.05,16.53,-141.00
19980827 13:30,-109.22,-18.50,27.23,-116.55,-23.91,16.21,-144.00
19980827 14:30,-104.34,-41.99,21.23,-122.17,-31.84,15.84,-141.50
19980827 15:30,-96.40,-54.83,20.51,-100.11,-20.79,16.21,-136.00
19980827 16:30,-91.01,-54.56,24.43,-106.95,-17.49,17.32,-133.50
19980827 17:30,-100.67,-46.13,33.58,-116.67,-9.13,17.80,-133.50
19980827 18:30,-116.68,-31.14,35.43,-110.03,-9.51,19.28,-131.00
19980827 19:30,-132.75,-14.55,35.25,-118.05,-13.97,20.56,-126.00
19980827 20:30,-141.84,-2.02,35.69,-129.32,-15.81,23.82,-117.50
19980827 21:30,-142.74,-1.19,31.01,-124.56,-20.08,27.08,-109.50
19980827 22:30,-133.60,-10.82,25.51,-112.26,-26.73,29.85,-102.00
19980925 02:30,-110.91,-34.34,11.44,-141.01,-53.39,26.78,-118.50
19980925 12:30,-101.03,-49.77,20.05,-136.34,-55.03,14.69,-140.50
19980925 13:30,-97.57,-29.52,27.24,-121.96,-48.72,15.28,-129.00
19980925 14:30,-93.84,-39.87,22.89,-120.81,-49.34,15.63,-122.50
19980925 15:30,-90.82,-36.54,23.03,-117.53,-27.61,15.75,-109.50
19981019 11:30,-112.22,1.09,28.05,-103.89,-2.81,32.80,-105.00
19981019 12:30,-109.09,1.75,25.78,-105.84,-16.80,32.77,-103.00
19981019 14:30,-63.18,3.30,23.05,-78.61,-27.95,20.07,-105.00
