date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,-307.90,-82.53,17.56,-388.27,-105.40,36.29,-306.50
20010331 07:30,-422.23,-92.98,20.59,-525.43,-61.42,44.65,-369.00
20010331 08:30,-453.34,-95.92,36.15,-490.53,-69.98,50.87,-366.50
20010331 09:30,-388.92,-83.43,38.88,-362.33,-61.59,54.57,-331.50
20010331 10:30,-340.08,-82.14,38.44,-314.18,-64.52,56.85,-304.50
20031029 22:30,-257.77,-37.80,22.02,-307.96,-119.89,56.69,-315.50
20031029 23:30,-349.41,-47.09,24.80,-388.29,-140.42,70.19,-351.50
20031030 00:30,-354.74,-56.11,27.89,-414.73,-90.71,74.20,-347.00
20031030 01:30,-372.48,-81.38,22.86,-406.42,-129.51,73.15,-338.00
20031030 02:30,-405.55,-81.20,34.87,-406.06,-71.71,72.61,-319.00
20031030 21:30,-316.43,-50.28,3.55,-330.55,-79.92,68.10,-349.50
20031030 22:30,-352.24,-80.31,0.24,-428.69,-104.85,73.34,-377.00
20031030 23:30,-334.75,-61.69,15.14,-355.06,-95.47,70.01,-339.00
20031120 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-362.50
20031120 18:30,-353.09,-118.67,27.25,-424.10,-17.83,27.02,-404.50
20031120 19:30,-322.08,-120.23,27.21,-391.11,-53.21,32.95,-417.50
20031120 20:30,-328.62,-108.53,31.39,-357.86,-95.09,38.03,-422.00
20031120 21:30,-341.06,-114.49,38.16,-365.38,-118.28,43.13,-413.50
20031120 22:30,-335.94,-96.89,49.73,-346.47,-114.64,48.22,-374.00
20031120 23:30,NaN,NaN,NaN,NaN,NaN,NaN,-326.00
20041108 03:30,-357.03,-99.54,9.46,-426.41,-72.30,49.17,-307.00
20041108 04:30,-446.82,-100.80,24.37,-512.32,-94.33,56.70,-355.00
20041108 05:30,-467.85,-81.24,37.36,-526.91,-51.60,63.01,-371.00
20041108 06:30,-427.10,-91.98,37.49,-476.19,-72.87,60.66,-358.50
20041108 07:30,-371.00,-76.65,37.96,-394.16,-44.55,56.91,-331.50
20041108 08:30,-351.02,-52.69,44.85,-356.85,-12.37,52.19,-309.50
