date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,28.60,19.35,14.51,25.14,30.27,9.88,59.50
19990416 15:30,37.45,26.59,12.38,36.71,43.25,8.87,58.00
20011229 06:30,18.01,12.11,0.69,26.33,27.00,4.88,54.50
20011229 07:30,14.96,6.67,-1.22,19.00,18.91,1.92,50.50
20011229 10:30,21.08,-4.24,-0.88,25.04,8.08,0.51,51.00
20020318 14:30,28.61,5.30,3.64,28.75,13.21,5.74,56.00
20020318 15:30,35.64,10.05,2.16,41.41,21.48,5.19,59.00
20020318 16:30,41.05,10.21,-0.87,44.37,25.91,4.90,59.00
20020318 17:30,45.86,12.28,-0.39,51.08,34.00,3.71,52.50
20041107 11:30,13.07,-0.80,3.21,18.54,15.45,2.72,52.50
20041205 08:30,18.30,3.52,7.84,17.57,13.18,4.95,60.00
20120122 06:30,19.38,5.21,0.51,20.45,2.79,0.25,51.50
20120122 07:30,26.99,5.82,-0.24,32.57,7.74,-1.57,52.50
20120616 21:30,43.02,16.87,-7.04,68.70,16.45,-3.19,67.50
20120616 22:30,67.84,8.55,-16.11,93.78,10.32,-7.75,64.00
20120616 23:30,39.51,-5.19,-12.76,50.98,0.44,-6.31,58.00
20120617 00:30,54.19,-12.67,-11.54,71.57,-1.50,-7.20,62.50
20120617 01:30,44.64,-10.28,-7.20,62.45,-0.11,-6.68,50.50
