min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,50.84521482729062,43.064083304226195,34.123984050810954
-300.0,-250.0,38.90035121949414,37.616659914524575,29.37436137603676
-250.0,-200.0,27.965890938784696,31.48246302308636,19.22612566275379
-200.0,-150.0,26.008867918782368,30.0174236381972,18.01600959043095
-150.0,-100.0,19.87294113122714,31.584243025174906,14.892276382345358
-100.0,-50.0,11.498476883860468,17.82333895791271,9.58030798266866
-50.0,0.0,6.830518599804203,8.30267341247631,5.3534273546338715
0.0,50.0,6.447597811952363,7.733547814104165,5.0311256112259475
50.0,inf,11.380369550726861,11.69449158079706,3.9626583389324783

