date,Bx,By,Bz,Mx,My,Mz,dst
19970110 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-52.50
19970110 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-71.00
19970110 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-75.50
19970110 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-65.50
19970110 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.00
19970110 12:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 13:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-61.00
19970110 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.50
19970110 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-56.50
19970110 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.00
19970209 18:30,-13.81,51.55,16.32,-52.29,-0.71,5.34,-51.50
19970209 19:30,5.69,45.61,16.75,-33.81,-7.54,4.44,-55.00
19970209 20:30,-13.01,55.70,15.47,-48.66,-2.51,3.99,-56.00
19970209 21:30,-11.48,42.34,15.50,-53.20,1.65,2.79,-51.00
19970210 05:30,-8.76,25.37,17.09,-51.94,-4.95,6.62,-51.50
19970210 06:30,-20.65,31.48,19.89,-64.61,2.65,7.88,-55.50
19970210 07:30,-26.27,40.73,21.35,-71.17,6.54,7.31,-58.50
19970210 08:30,-36.44,49.36,25.40,-82.29,9.17,7.21,-61.50
19970210 09:30,-50.43,52.16,23.74,-102.37,8.16,7.88,-65.50
19970210 10:30,-56.35,56.28,20.64,-109.56,6.43,8.18,-68.00
19970210 11:30,-53.80,54.24,19.54,-110.38,5.77,8.62,-66.50
19970210 12:30,-58.90,56.37,19.09,-120.52,4.02,9.22,-63.00
19970210 13:30,-52.56,55.96,19.26,-113.61,1.45,9.87,-60.50
19970210 14:30,-47.13,55.71,19.43,-103.88,1.63,9.78,-60.00
19970210 15:30,-45.54,52.52,19.93,-100.80,1.66,9.48,-59.50
19970210 16:30,-44.02,54.28,19.72,-94.91,2.85,9.64,-59.00
19970210 17:30,-38.72,54.59,20.49,-86.20,-0.63,9.26,-59.00
19970210 18:30,-27.73,55.22,20.04,-70.00,-2.73,8.14,-56.00
19970210 19:30,-18.13,52.98,19.59,-62.87,-9.40,6.80,-52.50
19970211 08:30,-7.56,43.08,19.12,-58.68,8.86,6.57,-54.50
19970211 09:30,-29.64,43.72,19.56,-82.70,7.90,6.88,-60.00
19970211 10:30,-33.56,46.59,21.35,-86.82,5.74,6.77,-54.50
19970217 07:30,-1.00,43.47,17.44,-48.21,10.78,4.05,-52.50
19970217 08:30,-14.79,42.68,15.14,-67.29,10.34,4.27,-52.00
19970227 22:30,15.30,39.18,19.20,-25.43,-0.97,-0.50,-73.50
19970227 23:30,7.32,49.53,15.91,-30.29,0.04,-5.43,-81.00
19970228 00:30,-13.33,40.62,13.22,-49.98,-8.37,-2.08,-70.00
19970228 01:30,3.13,20.47,14.76,-26.33,-9.68,-0.23,-65.50
19970228 02:30,3.85,15.90,19.65,-27.64,-6.01,1.93,-65.50
19970228 03:30,-1.10,21.97,23.23,-36.49,-5.76,3.50,-63.50
19970228 04:30,2.62,25.45,23.59,-35.09,-3.40,4.28,-64.00
19970228 05:30,-22.81,38.90,24.08,-75.51,3.20,5.96,-60.50
19970228 06:30,-8.65,50.51,26.44,-49.92,12.82,6.93,-55.00
19970228 07:30,-9.29,52.02,26.05,-49.25,15.06,7.19,-54.00
19970228 08:30,-11.29,48.24,24.19,-52.67,11.23,6.88,-54.50
19970228 09:30,-21.19,43.63,22.07,-68.49,5.23,6.56,-54.50
19970228 10:30,-24.51,43.72,18.87,-73.47,0.20,6.49,-54.50
19970228 11:30,-24.78,42.01,19.00,-75.28,1.01,6.48,-55.00
19970228 12:30,-30.76,40.60,18.69,-79.04,-1.62,7.00,-50.50
19970228 17:30,-2.55,39.55,19.82,-45.99,3.81,7.25,-54.00
19970228 18:30,-7.46,45.14,19.43,-54.05,0.55,7.03,-51.50
19970328 21:30,0.80,48.66,31.98,-35.20,3.95,5.75,-54.00
19970328 22:30,2.20,49.64,31.00,-44.04,4.72,5.27,-60.50
19970328 23:30,2.74,52.18,29.43,-40.44,4.30,4.61,-62.50
19970329 00:30,1.82,50.02,29.56,-38.39,5.09,3.76,-59.00
19970329 01:30,-0.53,48.55,29.47,-37.15,6.75,3.29,-53.00
19970411 01:30,13.75,46.23,36.02,-15.65,18.09,0.26,-67.50
19970411 02:30,-12.28,46.78,33.92,-24.42,17.93,-1.02,-73.50
19970411 03:30,-43.49,58.55,31.42,-74.89,13.93,-1.44,-77.50
19970411 04:30,-48.31,58.07,29.38,-71.24,23.11,0.06,-77.00
