date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-306.50
20010331 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-369.00
20010331 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-366.50
20010331 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-331.50
20010331 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-304.50
20031029 22:30,NaN,NaN,NaN,NaN,NaN,NaN,-315.50
20031029 23:30,NaN,NaN,NaN,NaN,NaN,NaN,-351.50
20031030 00:30,NaN,NaN,NaN,NaN,NaN,NaN,-347.00
20031030 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-338.00
20031030 02:30,NaN,NaN,NaN,NaN,NaN,NaN,-319.00
20031030 21:30,NaN,NaN,NaN,NaN,NaN,NaN,-349.50
20031030 22:30,NaN,NaN,NaN,NaN,NaN,NaN,-377.00
20031030 23:30,NaN,NaN,NaN,NaN,NaN,NaN,-339.00
20031120 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-362.50
20031120 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-404.50
20031120 19:30,NaN,NaN,NaN,NaN,NaN,NaN,-417.50
20031120 20:30,NaN,NaN,NaN,NaN,NaN,NaN,-422.00
20031120 21:30,NaN,NaN,NaN,NaN,NaN,NaN,-413.50
20031120 22:30,NaN,NaN,NaN,NaN,NaN,NaN,-374.00
20031120 23:30,NaN,NaN,NaN,NaN,NaN,NaN,-326.00
20041108 03:30,NaN,NaN,NaN,NaN,NaN,NaN,-307.00
20041108 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-355.00
20041108 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-371.00
20041108 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-358.50
20041108 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-331.50
20041108 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-309.50
