date,Bx,By,Bz,Mx,My,Mz,dst
19970101 01:30,NaN,NaN,NaN,NaN,NaN,NaN,1.50
19970101 02:30,NaN,NaN,NaN,NaN,NaN,NaN,4.50
19970101 03:30,NaN,NaN,NaN,NaN,NaN,NaN,7.50
19970101 04:30,NaN,NaN,NaN,NaN,NaN,NaN,8.00
19970101 05:30,NaN,NaN,NaN,NaN,NaN,NaN,4.00
19970101 08:30,NaN,NaN,NaN,NaN,NaN,NaN,2.50
19970101 09:30,NaN,NaN,NaN,NaN,NaN,NaN,3.50
19970101 10:30,NaN,NaN,NaN,NaN,NaN,NaN,1.50
19970101 11:30,NaN,NaN,NaN,NaN,NaN,NaN,1.00
19970102 02:30,NaN,NaN,NaN,NaN,NaN,NaN,0.50
19970102 03:30,NaN,NaN,NaN,NaN,NaN,NaN,0.50
19970102 04:30,NaN,NaN,NaN,NaN,NaN,NaN,0.00
19970102 09:30,NaN,NaN,NaN,NaN,NaN,NaN,3.50
19970102 10:30,NaN,NaN,NaN,NaN,NaN,NaN,5.50
19970102 11:30,NaN,NaN,NaN,NaN,NaN,NaN,6.50
19970102 12:30,NaN,NaN,NaN,NaN,NaN,NaN,5.50
19970102 13:30,NaN,NaN,NaN,NaN,NaN,NaN,4.00
19970102 14:30,NaN,NaN,NaN,NaN,NaN,NaN,3.00
19970103 02:30,NaN,NaN,NaN,NaN,NaN,NaN,1.00
19970103 03:30,NaN,NaN,NaN,NaN,NaN,NaN,3.50
19970103 04:30,NaN,NaN,NaN,NaN,NaN,NaN,3.50
19970103 05:30,NaN,NaN,NaN,NaN,NaN,NaN,2.50
19970103 06:30,NaN,NaN,NaN,NaN,NaN,NaN,1.50
19970103 07:30,NaN,NaN,NaN,NaN,NaN,NaN,1.00
19970103 08:30,NaN,NaN,NaN,NaN,NaN,NaN,1.50
19970103 09:30,NaN,NaN,NaN,NaN,NaN,NaN,2.50
19970103 10:30,NaN,NaN,NaN,NaN,NaN,NaN,3.50
19970103 11:30,NaN,NaN,NaN,NaN,NaN,NaN,4.00
19970103 12:30,NaN,NaN,NaN,NaN,NaN,NaN,2.50
19970103 13:30,NaN,NaN,NaN,NaN,NaN,NaN,1.00
19970103 14:30,NaN,NaN,NaN,NaN,NaN,NaN,0.00
19970103 17:30,NaN,NaN,NaN,NaN,NaN,NaN,0.50
19970103 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-0.00
19970103 20:30,NaN,NaN,NaN,NaN,NaN,NaN,0.50
19970103 21:30,NaN,NaN,NaN,NaN,NaN,NaN,2.00
19970103 22:30,NaN,NaN,NaN,NaN,NaN,NaN,2.00
19970103 23:30,NaN,NaN,NaN,NaN,NaN,NaN,1.50
19970104 02:30,NaN,NaN,NaN,NaN,NaN,NaN,0.00
19970104 08:30,NaN,NaN,NaN,NaN,NaN,NaN,1.50
