date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,NaN,NaN,NaN,NaN,NaN,NaN,59.50
19990416 15:30,NaN,NaN,NaN,NaN,NaN,NaN,58.00
20011229 06:30,NaN,NaN,NaN,NaN,NaN,NaN,54.50
20011229 07:30,NaN,NaN,NaN,NaN,NaN,NaN,50.50
20011229 10:30,NaN,NaN,NaN,NaN,NaN,NaN,51.00
20020318 14:30,NaN,NaN,NaN,NaN,NaN,NaN,56.00
20020318 15:30,NaN,NaN,NaN,NaN,NaN,NaN,59.00
20020318 16:30,NaN,NaN,NaN,NaN,NaN,NaN,59.00
20020318 17:30,NaN,NaN,NaN,NaN,NaN,NaN,52.50
20041107 11:30,NaN,NaN,NaN,NaN,NaN,NaN,52.50
20041205 08:30,NaN,NaN,NaN,NaN,NaN,NaN,60.00
20120122 06:30,22.27,-12.45,7.24,44.03,-5.00,2.39,51.50
20120122 07:30,29.64,-2.85,10.73,56.42,-1.07,1.61,52.50
20120616 21:30,28.75,15.98,11.35,43.17,13.96,9.43,67.50
20120616 22:30,53.78,28.86,13.34,69.40,22.96,9.13,64.00
20120616 23:30,19.95,20.83,5.06,33.29,13.88,7.78,58.00
20120617 00:30,48.40,16.72,5.30,64.05,15.30,5.88,62.50
20120617 01:30,46.97,7.01,6.07,64.26,10.48,4.84,50.50
