date,Bx,By,Bz,Mx,My,Mz,dst
19980925 08:30,-211.85,-10.25,20.19,-218.35,3.19,59.33,-201.50
19991022 05:30,-215.72,-56.64,-26.81,-236.70,-69.26,50.35,-221.00
19991022 06:30,-260.20,-56.16,-21.07,-295.64,-58.45,58.58,-232.50
19991022 07:30,-294.20,-21.28,-25.94,-303.76,-10.37,63.84,-217.00
20000406 20:30,-157.35,1.45,-25.43,-173.69,12.75,46.95,-215.00
20000407 01:30,-245.09,-76.69,23.45,-274.30,-84.40,50.88,-237.00
20000407 02:30,-206.05,-50.43,42.78,-211.13,-46.40,52.12,-211.50
20000407 03:30,-183.45,-33.52,38.19,-175.56,-46.55,51.74,-204.50
20000407 04:30,-213.57,-28.19,12.56,-203.53,-39.08,53.70,-206.00
20000715 20:30,-159.18,-13.22,-26.69,-158.53,27.62,60.95,-243.00
20000716 03:30,-236.23,-9.35,25.43,-223.35,-21.52,54.35,-245.50
20000716 04:30,-228.11,-14.90,27.67,-214.87,-31.13,54.66,-220.00
20000716 05:30,-210.88,-20.36,39.95,-191.15,-29.16,55.49,-201.50
20000812 08:30,-230.76,-42.19,18.96,-268.36,-23.39,69.39,-218.50
20000812 09:30,-280.41,-34.40,4.50,-297.25,-14.64,76.21,-229.00
20000812 10:30,-269.25,-27.50,21.33,-274.50,-9.53,76.40,-207.50
20010331 05:30,-112.69,-47.98,-42.34,-174.94,-50.09,28.19,-209.00
20010331 13:30,-232.50,9.84,50.33,-239.69,7.12,70.26,-234.50
20010331 14:30,-215.93,-9.43,55.50,-196.98,-16.01,67.34,-221.00
20010331 15:30,-209.92,-14.33,59.09,-195.19,-4.10,64.30,-218.00
20010331 16:30,-181.86,-14.37,57.66,-173.53,8.06,58.18,-230.50
20010331 23:30,-238.02,-46.42,15.10,-203.84,-33.68,57.90,-230.50
20010401 00:30,-224.79,-55.04,27.73,-200.79,-36.00,58.14,-220.50
20010401 01:30,-206.01,-51.79,37.55,-184.15,-41.07,57.54,-209.00
20010411 21:30,-172.76,11.05,-23.51,-186.72,33.30,47.66,-210.00
20010411 22:30,-143.08,-52.09,13.26,-191.43,-22.80,46.47,-243.00
20010412 00:30,-205.75,-64.16,9.40,-256.03,-79.57,45.49,-225.50
20010412 01:30,-186.27,-73.71,31.13,-208.19,-73.78,45.45,-212.50
20011106 09:30,-224.22,-20.79,39.45,-212.21,-26.39,66.10,-247.00
20011106 10:30,-207.29,-17.14,45.37,-191.13,-25.13,64.84,-224.00
20011106 11:30,-197.58,-19.57,47.10,-176.45,-26.61,64.41,-206.50
20011106 14:30,-200.99,-29.40,32.96,-184.07,-24.91,63.10,-212.50
20011106 15:30,-208.73,-13.50,32.09,-201.14,-2.96,63.95,-214.00
20011124 14:30,-222.41,-2.66,11.76,-234.95,39.70,54.88,-206.50
20011124 15:30,-184.25,-6.51,25.28,-195.12,19.49,56.84,-216.00
20011124 16:30,-220.57,-25.53,17.18,-206.64,-24.24,57.15,-218.50
20011124 17:30,-215.64,-32.95,28.42,-201.50,-37.93,57.85,-210.50
20031029 19:30,-113.87,-10.43,46.45,-170.85,-3.59,53.13,-233.00
20031030 05:30,-256.46,-8.55,57.83,-225.14,-16.30,75.89,-232.00
20031030 06:30,-228.81,-7.50,64.51,-203.55,-10.42,72.83,-211.50
20031031 01:30,-237.36,-12.79,44.61,-250.09,-20.54,73.12,-245.00
20031031 02:30,-219.94,-2.22,43.98,-212.41,-20.19,71.40,-242.50
20031031 03:30,-228.37,8.78,44.70,-213.08,-11.86,72.59,-218.50
20031121 01:30,-240.70,-60.85,65.09,-230.88,-36.78,71.62,-243.00
20031121 02:30,-218.45,-43.82,59.69,-206.14,-23.62,72.22,-212.00
20041108 01:30,-181.22,-102.37,-5.93,-151.18,-182.09,34.35,-205.00
20041108 02:30,-213.16,-59.29,-15.89,-222.03,-107.95,42.09,-248.00
20041108 10:30,-256.24,32.10,71.02,-258.51,38.98,73.56,-224.50
20041110 05:30,-231.86,-49.42,-2.43,-242.43,-46.81,67.79,-218.50
20041110 06:30,-280.86,-35.07,-8.54,-301.64,-39.33,71.64,-249.50
20041110 10:30,-310.86,6.38,48.69,-316.73,31.40,82.94,-247.50
20041110 11:30,-276.49,43.22,47.02,-280.44,59.18,74.33,-233.00
20041110 12:30,-272.96,23.23,51.58,-272.62,30.37,72.12,-220.00
20050515 07:30,-280.78,-89.83,-63.55,-341.11,-53.95,48.27,-238.00
20050515 08:30,-319.97,-100.90,-33.58,-329.13,-55.50,58.13,-234.50
20050515 09:30,-285.74,-55.08,8.47,-270.76,-39.59,60.60,-203.00
20150317 21:30,-115.35,-51.39,11.14,-148.46,-48.16,22.93,-216.00
20150317 22:30,-174.56,-63.94,-17.39,-201.63,-56.68,26.91,-229.50
20150317 23:30,-163.35,-87.31,7.72,-173.49,-99.95,22.85,-212.50
