date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,-230.52,-106.18,-41.30,-319.78,-63.79,43.53,-306.50
20010331 07:30,-360.08,-111.33,-57.70,-450.54,-49.40,64.07,-369.00
20010331 08:30,-396.48,-66.69,-53.22,-427.73,-30.47,75.94,-366.50
20010331 09:30,-342.16,-64.42,12.31,-325.56,-53.09,74.29,-331.50
20010331 10:30,-304.88,-56.86,42.92,-284.16,-58.76,72.98,-304.50
20031029 22:30,-284.36,-91.90,-31.24,-263.21,-148.88,57.03,-315.50
20031029 23:30,-346.60,-138.00,-24.17,-293.52,-177.43,62.43,-351.50
20031030 00:30,-340.72,-84.57,-7.35,-357.35,-92.24,73.92,-347.00
20031030 01:30,-327.20,-61.31,0.12,-303.72,-108.48,72.74,-338.00
20031030 02:30,-347.22,-48.24,1.39,-322.23,-71.42,75.78,-319.00
20031030 21:30,-299.15,-99.43,-67.07,-325.04,-134.51,64.89,-349.50
20031030 22:30,-315.05,-112.93,-41.24,-365.12,-117.01,72.76,-377.00
20031030 23:30,-318.22,-60.59,-17.62,-337.44,-74.73,71.84,-339.00
20031120 17:30,-341.70,-46.53,-45.12,-418.06,-64.75,64.21,-362.50
20031120 18:30,-416.95,-29.21,-54.84,-479.44,-24.27,77.17,-404.50
20031120 19:30,-436.22,4.77,-43.36,-473.96,-0.50,80.02,-417.50
20031120 20:30,-416.38,-40.16,4.48,-402.39,-34.86,77.55,-422.00
20031120 21:30,-382.80,-51.47,33.68,-378.30,-44.98,76.69,-413.50
20031120 22:30,-355.98,-80.58,52.96,-319.49,-71.78,73.51,-374.00
20031120 23:30,-309.44,-80.10,61.13,-295.99,-63.75,69.43,-326.00
20041108 03:30,-272.77,-29.73,-51.89,-333.66,-30.74,54.51,-307.00
20041108 04:30,-359.94,-42.64,-52.33,-416.43,-41.15,68.78,-355.00
20041108 05:30,-407.83,-41.24,-44.67,-472.54,-32.76,83.87,-371.00
20041108 06:30,-398.29,-39.94,3.41,-439.04,-22.27,83.58,-358.50
20041108 07:30,-346.45,-21.65,32.40,-365.40,-30.32,80.14,-331.50
20041108 08:30,-362.02,-18.31,25.26,-373.07,-20.07,81.05,-309.50
