date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,26.97,4.51,21.76,35.09,0.48,23.74,59.50
19990416 15:30,34.72,10.32,21.13,43.49,7.33,24.68,58.00
20011229 06:30,51.92,32.23,17.14,54.97,20.65,22.69,54.50
20011229 07:30,39.55,28.45,1.62,45.35,24.89,19.56,50.50
20011229 10:30,30.03,13.43,4.31,36.44,7.10,14.94,51.00
20020318 14:30,27.69,3.71,14.98,28.53,0.01,15.58,56.00
20020318 15:30,33.77,8.02,12.96,35.80,3.51,16.52,59.00
20020318 16:30,33.22,12.17,9.62,35.15,8.16,17.35,59.00
20020318 17:30,35.28,16.26,9.40,38.96,11.88,17.48,52.50
20041107 11:30,19.31,6.11,14.35,29.95,2.32,17.73,52.50
20041205 08:30,32.74,21.99,24.55,40.11,16.39,21.76,60.00
20120122 06:30,26.66,5.49,11.78,30.03,8.57,2.94,51.50
20120122 07:30,36.27,10.28,10.25,39.80,8.77,0.62,52.50
20120616 21:30,48.50,39.96,17.85,56.06,36.07,5.91,67.50
20120616 22:30,71.88,47.38,18.44,79.15,41.85,0.37,64.00
20120616 23:30,41.93,29.59,8.01,41.29,20.92,0.39,58.00
20120617 00:30,55.81,28.02,17.86,65.12,16.41,-2.57,62.50
20120617 01:30,54.87,22.78,12.73,62.16,9.78,-3.72,50.50
