date,Bx,By,Bz,Mx,My,Mz,dst
19980925 08:30,-112.16,-28.59,21.56,-149.94,-42.10,18.96,-201.50
19991022 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-221.00
19991022 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-232.50
19991022 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-217.00
20000406 20:30,NaN,NaN,NaN,NaN,NaN,NaN,-215.00
20000407 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-237.00
20000407 02:30,NaN,NaN,NaN,NaN,NaN,NaN,-211.50
20000407 03:30,NaN,NaN,NaN,NaN,NaN,NaN,-204.50
20000407 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-206.00
20000715 20:30,-290.08,-71.15,152.28,-246.49,-89.85,17.30,-243.00
20000716 03:30,-273.05,-4.69,6.20,-263.57,-7.07,40.41,-245.50
20000716 04:30,-227.54,-6.99,-5.17,-230.54,6.74,38.45,-220.00
20000716 05:30,-210.44,4.25,-1.68,-196.31,11.60,36.75,-201.50
20000812 08:30,-160.25,-14.39,45.49,-183.68,-9.58,28.09,-218.50
20000812 09:30,-155.83,-20.49,36.45,-182.71,-25.32,29.99,-229.00
20000812 10:30,-178.51,3.56,41.29,-188.87,-8.43,32.87,-207.50
20010331 05:30,-265.69,28.72,98.49,-232.04,46.03,16.49,-209.00
20010331 13:30,-231.40,41.06,9.91,-236.38,8.73,28.43,-234.50
20010331 14:30,-224.15,48.46,24.05,-195.80,30.31,27.42,-221.00
20010331 15:30,-245.73,57.42,-8.55,-199.84,-28.66,25.76,-218.00
20010331 16:30,-267.86,67.92,-8.42,-236.42,-42.36,29.92,-230.50
20010331 23:30,-245.36,28.24,-8.99,-228.44,19.39,35.61,-230.50
20010401 00:30,-236.53,17.11,3.12,-224.77,9.80,33.92,-220.50
20010401 01:30,-221.54,18.32,3.90,-218.59,15.05,33.35,-209.00
20010411 21:30,NaN,NaN,NaN,NaN,NaN,NaN,-210.00
20010411 22:30,NaN,NaN,NaN,NaN,NaN,NaN,-243.00
20010412 00:30,NaN,NaN,NaN,NaN,NaN,NaN,-225.50
20010412 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-212.50
20011106 09:30,-238.68,-2.46,-3.26,-228.64,-21.94,27.07,-247.00
20011106 10:30,-211.94,-0.00,-7.59,-211.08,-13.33,28.77,-224.00
20011106 11:30,-185.49,9.84,-6.66,-183.77,-3.07,29.41,-206.50
20011106 14:30,-192.32,36.57,31.61,-185.54,9.35,31.94,-212.50
20011106 15:30,-211.25,50.76,38.64,-194.06,14.91,34.01,-214.00
20011124 14:30,-198.33,59.49,51.25,-169.34,-11.06,26.23,-206.50
20011124 15:30,-243.66,56.65,73.24,-230.77,23.80,24.97,-216.00
20011124 16:30,-244.70,50.75,72.80,-202.16,36.99,26.34,-218.50
20011124 17:30,-210.04,41.52,34.73,-197.50,28.62,28.49,-210.50
20031029 19:30,-411.67,45.60,109.47,-385.59,-28.37,25.46,-233.00
20031030 05:30,-273.17,7.07,1.12,-237.61,15.71,41.38,-232.00
20031030 06:30,-248.05,-0.15,1.56,-210.33,9.02,39.25,-211.50
20031031 01:30,-272.00,28.23,-21.94,-242.35,40.34,44.44,-245.00
20031031 02:30,-280.15,22.32,3.19,-265.59,27.27,43.25,-242.50
20031031 03:30,-253.86,10.15,-1.21,-251.97,12.27,41.22,-218.50
20031121 01:30,-312.41,39.36,-7.01,-291.23,50.60,48.47,-243.00
20031121 02:30,-270.56,27.59,-7.33,-250.67,32.96,43.74,-212.00
20041108 01:30,-261.51,32.13,42.41,-274.57,21.31,34.61,-205.00
20041108 02:30,-283.85,21.56,51.90,-241.74,28.45,40.66,-248.00
20041108 10:30,-180.46,-34.40,7.97,-211.54,-26.45,36.59,-224.50
20041110 05:30,-158.75,28.17,4.19,-96.71,-12.13,23.04,-218.50
20041110 06:30,-207.37,10.15,44.37,-146.09,1.16,27.76,-249.50
20041110 10:30,-218.30,-5.90,60.04,-238.63,-45.95,32.47,-247.50
20041110 11:30,-189.58,-8.27,40.87,-201.82,2.24,38.70,-233.00
20041110 12:30,-199.14,-5.29,35.93,-203.23,18.33,39.11,-220.00
20050515 07:30,-178.99,-19.27,100.50,-195.00,-41.34,30.79,-238.00
20050515 08:30,-207.22,-17.69,83.95,-170.79,-42.32,34.08,-234.50
20050515 09:30,-182.14,-5.79,46.48,-139.91,-10.35,31.24,-203.00
20150317 21:30,-290.76,12.42,59.44,-333.62,30.21,28.03,-216.00
20150317 22:30,-307.64,23.17,54.95,-327.14,37.14,29.66,-229.50
20150317 23:30,-305.12,27.32,45.54,-321.72,52.44,35.23,-212.50
