date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,54.01,-8.88,-13.05,60.66,2.56,3.91,59.50
19990416 15:30,66.15,-9.44,-15.53,75.43,-7.85,0.76,58.00
20011229 06:30,31.01,-22.52,-9.89,28.55,-11.58,5.24,54.50
20011229 07:30,36.72,-30.98,-3.12,33.21,-21.02,4.78,50.50
20011229 10:30,66.43,-29.50,-10.49,60.45,-21.73,4.81,51.00
20020318 14:30,79.15,18.38,-19.08,85.87,16.27,2.32,56.00
20020318 15:30,92.96,17.96,-20.72,92.67,10.15,-0.33,59.00
20020318 16:30,93.59,8.79,-20.94,89.33,5.99,-2.53,59.00
20020318 17:30,86.59,-15.60,-19.22,88.02,-7.12,-3.98,52.50
20041107 11:30,57.36,-17.55,-17.81,60.26,-18.15,6.94,52.50
20041205 08:30,47.41,-17.61,-13.47,54.93,-15.52,8.84,60.00
20120122 06:30,23.83,-11.67,-11.94,25.51,0.99,0.53,51.50
20120122 07:30,36.41,-14.79,-10.99,39.53,-7.77,-0.89,52.50
20120616 21:30,42.64,-29.74,-8.58,53.87,-24.65,3.09,67.50
20120616 22:30,59.61,-40.30,-4.44,58.13,-31.75,4.36,64.00
20120616 23:30,22.97,-23.50,10.89,18.00,-16.46,6.39,58.00
20120617 00:30,33.16,-21.81,5.38,34.89,-16.55,6.91,62.50
20120617 01:30,27.58,-18.24,8.32,33.39,-14.16,7.30,50.50
