date,Bx,By,Bz,Mx,My,Mz,dst
19970110 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-52.50
19970110 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-71.00
19970110 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-75.50
19970110 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-65.50
19970110 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.00
19970110 12:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 13:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-61.00
19970110 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.50
19970110 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-56.50
19970110 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.00
19970209 18:30,-50.91,9.04,16.61,-32.82,5.61,7.00,-51.50
19970209 19:30,-32.73,2.22,17.76,-10.97,-2.18,5.91,-55.00
19970209 20:30,-46.47,8.37,15.17,-28.33,2.38,5.21,-56.00
19970209 21:30,-65.80,-6.38,9.33,-42.21,-4.74,4.04,-51.00
19970210 05:30,-63.19,-6.23,23.87,-53.33,0.98,10.30,-51.50
19970210 06:30,-79.91,-0.59,20.43,-73.13,4.89,11.22,-55.50
19970210 07:30,-87.66,0.95,18.77,-74.23,5.10,10.42,-58.50
19970210 08:30,-96.86,2.56,14.79,-83.03,6.51,10.10,-61.50
19970210 09:30,-107.08,3.74,12.20,-101.54,8.24,10.75,-65.50
19970210 10:30,-109.08,5.28,16.28,-105.38,7.48,11.27,-68.00
19970210 11:30,-106.57,4.39,17.37,-103.23,8.81,11.65,-66.50
19970210 12:30,-109.65,7.12,17.38,-106.78,11.08,12.16,-63.00
19970210 13:30,-101.62,7.41,19.57,-97.23,8.77,12.65,-60.50
19970210 14:30,-93.34,5.91,20.14,-85.30,9.22,12.17,-60.00
19970210 15:30,-89.14,5.12,19.89,-80.28,8.53,11.52,-59.50
19970210 16:30,-83.39,10.68,21.56,-72.46,10.17,11.30,-59.00
19970210 17:30,-74.77,10.77,20.89,-62.45,6.53,10.80,-59.00
19970210 18:30,-60.98,8.06,21.40,-45.59,1.03,9.68,-56.00
19970210 19:30,-49.72,4.26,19.47,-35.59,-1.14,8.53,-52.50
19970211 08:30,-72.91,1.54,13.52,-63.76,8.31,8.89,-54.50
19970211 09:30,-93.10,2.67,11.88,-85.58,5.86,9.60,-60.00
19970211 10:30,-96.09,2.19,13.99,-89.98,1.91,9.97,-54.50
19970217 07:30,-77.90,-8.21,16.13,-60.75,-0.28,6.86,-52.50
19970217 08:30,-87.49,-7.32,16.17,-75.82,1.40,7.35,-52.00
19970227 22:30,-51.56,-23.91,7.10,-30.23,-22.96,2.93,-73.50
19970227 23:30,-55.96,-25.27,11.39,-26.46,-28.59,-0.92,-81.00
19970228 00:30,-69.36,-24.81,16.06,-43.88,-13.46,2.86,-70.00
19970228 01:30,-54.88,-23.92,29.79,-25.45,-16.79,4.53,-65.50
19970228 02:30,-61.68,-22.31,32.79,-39.01,-10.83,6.65,-65.50
19970228 03:30,-65.93,-6.34,36.69,-40.73,-4.26,7.96,-63.50
19970228 04:30,-66.83,-3.68,30.12,-40.99,-5.20,8.52,-64.00
19970228 05:30,-95.69,-0.39,19.22,-92.26,-2.36,10.19,-60.50
19970228 06:30,-70.63,5.06,24.69,-64.81,8.83,10.23,-55.00
19970228 07:30,-71.80,1.16,19.34,-62.57,9.57,9.99,-54.00
19970228 08:30,-73.43,0.93,22.28,-58.90,6.82,9.65,-54.50
19970228 09:30,-79.68,3.75,22.91,-66.06,4.55,9.68,-54.50
19970228 10:30,-75.14,2.86,22.29,-65.42,1.34,10.14,-54.50
19970228 11:30,-81.35,-2.73,19.58,-70.58,-0.25,10.34,-55.00
19970228 12:30,-83.51,-3.52,20.60,-74.24,-1.59,11.11,-50.50
19970228 17:30,-54.43,-0.09,21.74,-40.03,1.91,9.67,-54.00
19970228 18:30,-58.59,0.37,19.27,-46.20,1.17,9.43,-51.50
19970328 21:30,-42.46,5.23,18.73,-29.00,0.41,8.13,-54.00
19970328 22:30,-52.10,1.37,13.95,-35.31,0.12,7.59,-60.50
19970328 23:30,-49.80,-2.24,14.29,-32.97,-0.29,6.85,-62.50
19970329 00:30,-57.95,-3.73,14.80,-34.51,-1.29,6.02,-59.00
19970329 01:30,-58.10,-4.91,13.01,-38.05,-1.11,5.54,-53.00
19970411 01:30,-66.97,-7.46,10.99,-21.23,3.06,1.95,-67.50
19970411 02:30,-84.05,-13.47,11.22,-36.08,-0.97,0.99,-73.50
19970411 03:30,-110.09,-11.89,4.90,-89.94,-10.26,1.60,-77.50
