date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-306.50
20010331 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-369.00
20010331 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-366.50
20010331 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-331.50
20010331 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-304.50
20031029 22:30,-309.47,-33.41,3.16,-274.06,-66.53,12.84,-315.50
20031029 23:30,-335.73,-57.00,-9.38,-285.88,-77.29,11.70,-351.50
20031030 00:30,-364.73,-19.65,-4.23,-380.62,-47.55,21.13,-347.00
20031030 01:30,-294.91,-22.70,3.00,-281.78,-19.18,21.79,-338.00
20031030 02:30,-322.07,-22.73,6.32,-323.09,-0.81,25.16,-319.00
20031030 21:30,-418.39,-25.01,-23.80,-370.91,-74.04,9.79,-349.50
20031030 22:30,-420.48,-49.18,-14.98,-377.41,-72.30,14.69,-377.00
20031030 23:30,-411.01,-34.18,13.71,-364.76,-30.04,17.37,-339.00
20031120 17:30,-499.59,-34.51,-27.80,-476.32,-48.96,18.19,-362.50
20031120 18:30,-588.77,17.20,-10.59,-560.32,17.17,23.86,-404.50
20031120 19:30,-609.63,16.38,-4.46,-564.35,32.70,27.19,-417.50
20031120 20:30,-503.40,6.75,18.48,-475.58,-8.47,26.10,-422.00
20031120 21:30,-445.63,16.23,26.86,-429.72,-16.27,28.04,-413.50
20031120 22:30,-363.80,-0.67,33.80,-343.18,-24.49,27.86,-374.00
20031120 23:30,-315.61,12.61,24.66,-324.52,-34.88,25.80,-326.00
20041108 03:30,-293.28,16.47,3.16,-304.49,24.25,15.24,-307.00
20041108 04:30,-383.39,25.93,6.13,-395.20,44.02,24.10,-355.00
20041108 05:30,-431.46,69.17,3.73,-469.77,42.45,32.29,-371.00
20041108 06:30,-423.11,63.42,0.48,-428.61,60.91,29.99,-358.50
20041108 07:30,-391.19,33.87,3.51,-374.55,26.72,26.78,-331.50
20041108 08:30,-412.89,24.04,3.36,-421.62,10.56,25.52,-309.50
