date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,13.98,-19.77,28.93,20.62,-18.69,15.12,59.50
19990416 15:30,18.23,-18.69,29.62,24.70,-15.84,16.67,58.00
20011229 06:30,NaN,NaN,NaN,NaN,NaN,NaN,54.50
20011229 07:30,NaN,NaN,NaN,NaN,NaN,NaN,50.50
20011229 10:30,NaN,NaN,NaN,NaN,NaN,NaN,51.00
20020318 14:30,14.40,-3.60,8.94,22.15,-13.27,9.78,56.00
20020318 15:30,17.70,-1.89,11.48,24.86,-10.67,11.09,59.00
20020318 16:30,13.84,2.62,11.51,21.08,-7.47,12.26,59.00
20020318 17:30,13.85,9.40,12.13,21.80,-4.22,12.93,52.50
20041107 11:30,30.69,10.89,13.61,34.79,-1.38,9.87,52.50
20041205 08:30,57.83,29.52,22.89,57.92,7.58,13.15,60.00
20120122 06:30,NaN,NaN,NaN,NaN,NaN,NaN,51.50
20120122 07:30,NaN,NaN,NaN,NaN,NaN,NaN,52.50
20120616 21:30,75.84,19.19,9.09,49.35,25.15,8.71,67.50
20120616 22:30,110.68,29.50,11.33,79.61,33.13,6.80,64.00
20120616 23:30,67.55,11.45,-1.12,42.10,16.99,5.87,58.00
20120617 00:30,93.82,14.69,5.58,71.10,16.63,3.70,62.50
20120617 01:30,77.89,9.21,-2.94,69.06,10.40,2.70,50.50
