date,Bx,By,Bz,Mx,My,Mz,dst
19980925 08:30,-227.71,-78.73,-38.65,-162.42,-41.67,-45.74,-201.50
19991022 05:30,-315.61,-93.55,-5.41,-330.15,-91.20,-41.98,-221.00
19991022 06:30,-338.63,-101.34,-16.84,-356.90,-102.86,-48.16,-232.50
19991022 07:30,-305.35,-97.67,-33.47,-291.38,-86.68,-56.62,-217.00
20000406 20:30,-164.92,-64.40,-4.87,-143.29,-26.47,-22.51,-215.00
20000407 01:30,-339.11,-81.11,-10.78,-378.63,-71.06,-34.54,-237.00
20000407 02:30,-285.53,-46.26,-8.73,-264.87,-31.48,-32.12,-211.50
20000407 03:30,-270.32,-29.49,-1.80,-252.85,-18.98,-30.22,-204.50
20000407 04:30,-274.03,-46.41,-10.15,-254.56,-36.38,-31.96,-206.00
20000715 20:30,-191.84,-32.38,25.11,-207.33,80.29,-20.27,-243.00
20000716 03:30,-262.77,-51.87,-46.33,-245.49,-46.59,-31.03,-245.50
20000716 04:30,-244.93,-53.67,-45.50,-229.48,-47.16,-29.79,-220.00
20000716 05:30,-235.41,-49.07,-40.72,-209.15,-44.66,-29.42,-201.50
20000812 08:30,-252.98,-92.39,-36.17,-243.18,-67.25,-44.59,-218.50
20000812 09:30,-281.31,-123.19,-37.68,-254.69,-70.76,-49.90,-229.00
20000812 10:30,-272.43,-115.08,-41.33,-227.47,-79.34,-49.66,-207.50
20010331 05:30,-233.32,-15.51,37.41,-246.20,-42.79,-20.29,-209.00
20010331 13:30,-265.22,-57.40,-44.95,-217.77,-44.84,-40.87,-234.50
20010331 14:30,-237.35,-53.87,-41.77,-214.99,-50.55,-35.43,-221.00
20010331 15:30,-240.10,-44.61,-30.60,-181.65,-20.35,-31.77,-218.00
20010331 16:30,-204.93,-28.39,-28.06,-131.79,-9.28,-26.27,-230.50
20010331 23:30,-216.79,-41.06,-43.64,-243.78,-44.06,-28.72,-230.50
20010401 00:30,-223.73,-32.48,-31.76,-236.50,-40.23,-28.50,-220.50
20010401 01:30,-223.60,-29.87,-26.93,-226.86,-33.69,-27.68,-209.00
20010411 21:30,-181.88,-60.63,-13.16,-197.84,-19.90,-19.16,-210.00
20010411 22:30,-223.11,-64.52,-6.54,-235.80,-20.71,-18.77,-243.00
20010412 00:30,-285.79,-74.02,-5.53,-330.87,-110.08,-26.06,-225.50
20010412 01:30,-265.96,-59.99,-1.16,-276.47,-70.33,-30.34,-212.50
20011106 09:30,-272.08,-48.69,-52.29,-256.14,-27.28,-43.13,-247.00
20011106 10:30,-248.31,-45.45,-51.46,-229.90,-28.62,-41.82,-224.00
20011106 11:30,-232.11,-42.81,-47.62,-213.35,-33.50,-39.08,-206.50
20011106 14:30,-221.62,-52.79,-42.59,-189.32,-43.94,-34.64,-212.50
20011106 15:30,-217.09,-47.65,-38.89,-175.54,-57.32,-34.35,-214.00
20011124 14:30,-185.30,-74.72,-24.14,-96.01,-55.76,-35.63,-206.50
20011124 15:30,-195.53,-36.34,-14.47,-127.64,-33.65,-29.52,-216.00
20011124 16:30,-218.27,-33.61,-22.05,-211.00,-57.61,-27.76,-218.50
20011124 17:30,-227.14,-39.56,-31.23,-217.16,-58.94,-28.42,-210.50
20031029 19:30,-243.58,-87.00,-26.87,-119.49,92.84,-19.76,-233.00
20031030 05:30,-250.10,-30.21,-33.55,-243.49,-45.34,-43.53,-232.00
20031030 06:30,-219.80,-27.30,-41.50,-211.23,-36.88,-40.12,-211.50
20031031 01:30,-251.37,-24.69,-25.26,-298.84,-72.90,-46.24,-245.00
20031031 02:30,-241.34,-21.42,-23.06,-277.38,-47.06,-44.30,-242.50
20031031 03:30,-252.57,-30.10,-24.66,-252.01,-27.89,-42.29,-218.50
20031121 01:30,-306.16,-49.62,-53.82,-288.99,-40.22,-34.59,-243.00
20031121 02:30,-277.82,-39.03,-47.98,-254.03,-24.72,-34.91,-212.00
20041108 01:30,-287.07,-11.05,9.05,-406.86,-33.84,-26.49,-205.00
20041108 02:30,-307.60,-21.18,-10.16,-381.80,-71.97,-37.55,-248.00
20041108 10:30,-195.48,-74.02,-65.29,-116.51,-58.02,-55.10,-224.50
20041110 05:30,-253.52,-80.49,-32.77,-271.23,-56.95,-38.76,-218.50
20041110 06:30,-290.52,-94.70,-37.58,-315.23,-116.14,-46.75,-249.50
20041110 10:30,-210.37,-93.98,-55.20,-144.51,-63.11,-46.53,-247.50
20041110 11:30,-163.68,-110.05,-64.21,-105.79,-112.31,-43.60,-233.00
20041110 12:30,-171.48,-100.93,-44.89,-140.41,-101.60,-38.16,-220.00
20050515 07:30,-296.02,-113.16,1.69,-335.34,-86.72,-42.79,-238.00
20050515 08:30,-330.44,-114.49,-16.60,-339.69,-102.22,-52.20,-234.50
20050515 09:30,-262.85,-94.34,-28.87,-266.44,-98.70,-46.79,-203.00
20150317 21:30,-188.88,-39.54,-1.59,-208.82,7.15,-16.23,-216.00
20150317 22:30,-217.06,-34.59,1.68,-264.83,-20.05,-20.00,-229.50
20150317 23:30,-234.60,-32.57,-2.97,-317.83,-45.45,-24.19,-212.50
