date,Bx,By,Bz,Mx,My,Mz,dst
20010331 06:30,-330.42,-76.09,-3.97,-391.16,-97.26,-35.65,-306.50
20010331 07:30,-426.36,-120.90,-7.77,-469.38,-118.62,-56.26,-369.00
20010331 08:30,-474.56,-118.52,-17.66,-452.82,-101.57,-65.83,-366.50
20010331 09:30,-419.88,-93.58,-32.47,-367.33,-67.09,-57.53,-331.50
20010331 10:30,-382.74,-84.59,-37.53,-342.35,-67.76,-50.72,-304.50
20031029 22:30,-330.35,-28.32,23.45,-410.79,-65.52,-22.59,-315.50
20031029 23:30,-386.98,-28.31,23.95,-509.36,-63.89,-31.75,-351.50
20031030 00:30,-373.09,-20.65,5.59,-454.23,-82.37,-38.98,-347.00
20031030 01:30,-381.11,-19.77,2.48,-487.29,-94.94,-47.42,-338.00
20031030 02:30,-396.43,-42.45,-16.75,-439.09,-96.53,-55.54,-319.00
20031030 21:30,-294.64,-56.11,10.13,-415.39,-28.07,-29.84,-349.50
20031030 22:30,-350.60,-54.09,16.36,-468.10,-21.87,-37.75,-377.00
20031030 23:30,-328.41,-26.24,-5.03,-398.08,-35.32,-39.79,-339.00
20031120 17:30,-302.41,-107.22,-21.91,-254.83,58.78,-40.94,-362.50
20031120 18:30,-385.44,-111.63,-22.63,-382.28,22.50,-46.02,-404.50
20031120 19:30,-400.37,-79.01,-17.80,-357.94,-22.39,-40.87,-417.50
20031120 20:30,-402.17,-66.44,-28.18,-370.32,-55.20,-34.22,-422.00
20031120 21:30,-420.70,-64.72,-33.66,-394.27,-68.43,-33.89,-413.50
20031120 22:30,-420.14,-57.28,-36.98,-410.06,-28.57,-33.89,-374.00
20031120 23:30,-373.46,-59.78,-52.16,-357.08,-48.43,-33.84,-326.00
20041108 03:30,-342.00,-65.39,-23.33,-389.25,-86.00,-54.44,-307.00
20041108 04:30,-420.21,-89.41,-34.77,-503.63,-163.17,-66.98,-355.00
20041108 05:30,-419.49,-95.86,-46.68,-460.62,-108.40,-73.36,-371.00
20041108 06:30,-391.57,-87.96,-55.69,-415.82,-110.96,-74.99,-358.50
20041108 07:30,-364.50,-69.05,-53.77,-338.99,-63.52,-70.99,-331.50
20041108 08:30,-318.30,-96.72,-74.21,-276.21,-60.30,-65.83,-309.50
