date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,-23.99,-12.84,-4.05,23.36,14.25,-4.42,59.50
19990416 15:30,-10.82,-4.94,-0.26,36.33,22.94,-3.28,58.00
20011229 06:30,NaN,NaN,NaN,NaN,NaN,NaN,54.50
20011229 07:30,NaN,NaN,NaN,NaN,NaN,NaN,50.50
20011229 10:30,NaN,NaN,NaN,NaN,NaN,NaN,51.00
20020318 14:30,22.95,-2.72,-21.18,32.49,-12.54,-5.51,56.00
20020318 15:30,29.39,1.08,-18.38,41.05,-5.37,-3.79,59.00
20020318 16:30,29.69,1.86,-19.08,44.47,-1.29,-2.23,59.00
20020318 17:30,35.38,-3.86,-24.11,51.82,8.95,-1.22,52.50
20041107 11:30,16.23,-6.03,-19.36,29.11,4.23,-11.44,52.50
20041205 08:30,26.32,6.38,-22.69,38.94,8.15,-15.59,60.00
20120122 06:30,36.72,17.57,-4.84,26.21,5.18,-2.97,51.50
20120122 07:30,48.25,20.84,-5.18,40.45,9.98,-2.54,52.50
20120616 21:30,70.00,12.13,-4.07,62.50,8.38,-2.45,67.50
20120616 22:30,98.21,5.49,-1.22,88.15,10.62,-0.97,64.00
20120616 23:30,66.51,2.29,10.34,48.35,5.11,-0.85,58.00
20120617 00:30,79.62,9.91,9.90,59.64,7.03,-0.18,62.50
20120617 01:30,72.45,13.39,13.40,48.37,8.30,-0.11,50.50
