date,Bx,By,Bz,Mx,My,Mz,dst
19970110 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-52.50
19970110 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-71.00
19970110 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-75.50
19970110 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-65.50
19970110 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.00
19970110 12:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 13:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-61.00
19970110 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.50
19970110 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-56.50
19970110 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.00
19970209 18:30,-83.27,16.52,29.53,-64.60,25.53,16.65,-51.50
19970209 19:30,-77.21,40.27,35.42,-64.33,48.38,21.29,-55.00
19970209 20:30,-75.20,33.97,34.30,-64.95,40.27,24.67,-56.00
19970209 21:30,-58.77,41.01,33.38,-44.34,40.47,25.02,-51.00
19970210 05:30,-39.13,-1.33,22.17,-41.84,-0.40,14.99,-51.50
19970210 06:30,-32.00,-12.44,19.48,-40.96,-14.06,14.43,-55.50
19970210 07:30,-37.79,-0.80,18.84,-41.62,-0.69,14.99,-58.50
19970210 08:30,-40.35,-4.15,22.28,-45.47,-2.62,16.27,-61.50
19970210 09:30,-47.14,-8.75,24.62,-53.49,-8.55,17.47,-65.50
19970210 10:30,-56.13,-0.79,29.10,-59.25,-2.03,18.87,-68.00
19970210 11:30,-61.39,-0.39,30.19,-61.35,1.42,20.04,-66.50
19970210 12:30,-74.13,-5.46,30.36,-69.92,2.28,21.69,-63.00
19970210 13:30,-86.20,-5.95,30.31,-72.58,3.79,22.95,-60.50
19970210 14:30,-88.05,0.18,33.63,-71.72,11.66,24.48,-60.00
19970210 15:30,-88.39,6.34,38.72,-72.20,17.93,26.31,-59.50
19970210 16:30,-85.73,9.68,39.68,-71.95,18.02,28.32,-59.00
19970210 17:30,-87.16,14.75,39.78,-73.62,23.07,29.80,-59.00
19970210 18:30,-80.78,26.47,39.53,-67.87,33.05,31.04,-56.00
19970210 19:30,-80.63,35.73,39.44,-68.03,43.37,31.85,-52.50
19970211 08:30,-27.31,-3.66,20.29,-28.27,-4.46,14.46,-54.50
19970211 09:30,-40.08,-5.64,22.57,-39.23,-7.47,15.98,-60.00
19970211 10:30,-43.37,-1.04,24.07,-41.86,-7.22,15.91,-54.50
19970217 07:30,-18.57,6.67,18.34,-18.09,1.96,11.13,-52.50
19970217 08:30,-26.13,5.56,21.93,-26.13,3.48,11.99,-52.00
19970227 22:30,-25.56,58.65,29.93,-27.20,68.42,18.53,-73.50
19970227 23:30,-71.95,99.31,32.43,-44.27,118.54,23.27,-81.00
19970228 00:30,-69.94,41.35,31.64,-53.49,43.74,22.63,-70.00
19970228 01:30,-44.38,45.70,28.50,-30.60,41.21,19.67,-65.50
19970228 02:30,-24.64,25.30,24.36,-27.14,14.09,16.66,-65.50
19970228 03:30,-39.51,17.71,19.41,-38.39,14.32,14.64,-63.50
19970228 04:30,-38.63,25.91,20.53,-35.57,15.75,14.72,-64.00
19970228 05:30,-37.65,-4.93,17.11,-46.22,-15.24,13.15,-60.50
19970228 06:30,-21.42,-3.14,14.77,-22.70,-11.32,12.14,-55.00
19970228 07:30,-21.11,-7.87,15.69,-20.22,-10.93,11.62,-54.00
19970228 08:30,-26.28,0.15,17.32,-23.76,-0.24,12.34,-54.50
19970228 09:30,-34.28,8.70,17.41,-35.12,6.21,13.82,-54.50
19970228 10:30,-44.98,15.03,20.00,-43.59,12.21,15.76,-54.50
19970228 11:30,-45.16,15.30,22.24,-41.64,11.53,16.61,-55.00
19970228 12:30,-50.88,13.09,21.13,-46.46,7.33,16.64,-50.50
19970228 17:30,-54.56,10.38,27.03,-37.76,15.52,15.93,-54.00
19970228 18:30,-55.62,9.13,29.56,-45.99,12.02,17.38,-51.50
19970328 21:30,-41.70,25.67,32.43,-34.84,29.03,19.03,-54.00
19970328 22:30,-48.31,26.48,30.13,-38.78,31.87,20.29,-60.50
19970328 23:30,-51.59,33.67,32.56,-40.75,39.99,21.44,-62.50
19970329 00:30,-47.76,36.51,31.55,-36.62,40.39,21.43,-59.00
19970329 01:30,-39.70,28.49,29.38,-30.86,28.23,19.63,-53.00
19970411 01:30,-19.03,64.61,28.22,-10.35,60.75,15.30,-67.50
19970411 02:30,-24.74,68.10,28.20,-22.90,62.60,16.39,-73.50
19970411 03:30,-38.33,39.33,23.23,-36.90,27.75,15.13,-77.50
19970411 04:30,-19.01,32.54,19.65,-23.52,21.02,15.44,-77.00
