date,Bx,By,Bz,Mx,My,Mz,dst
19990416 14:30,25.20,-19.24,10.79,25.06,-20.24,-4.41,59.50
19990416 15:30,31.29,-32.62,5.16,33.41,-36.79,-7.43,58.00
20011229 06:30,27.63,-18.29,9.38,28.39,-17.43,1.61,54.50
20011229 07:30,38.11,-20.49,5.18,37.69,-19.10,0.90,50.50
20011229 10:30,50.78,-17.84,10.80,56.13,-9.20,-2.48,51.00
20020318 14:30,24.27,-20.45,-3.41,30.33,-16.15,-13.01,56.00
20020318 15:30,29.40,-37.70,-6.44,35.60,-29.44,-15.94,59.00
20020318 16:30,28.82,-46.57,-7.71,33.52,-36.78,-17.03,59.00
20020318 17:30,34.42,-50.51,-3.09,39.71,-43.57,-16.45,52.50
20041107 11:30,48.52,-14.02,11.06,47.89,-8.05,0.40,52.50
20041205 08:30,43.84,-8.97,10.44,44.68,-9.57,7.72,60.00
20120122 06:30,22.30,-4.05,1.59,19.01,-3.41,1.88,51.50
20120122 07:30,38.00,-10.91,-3.82,32.68,-8.18,-0.65,52.50
20120616 21:30,59.22,-30.30,11.74,56.52,-33.44,10.10,67.50
20120616 22:30,79.48,-25.40,12.63,78.55,-24.50,9.86,64.00
20120616 23:30,37.15,-7.48,11.66,38.31,-2.40,12.98,58.00
20120617 00:30,58.09,-3.19,15.95,60.99,0.75,11.64,62.50
20120617 01:30,58.66,0.89,15.51,58.02,4.05,10.73,50.50
